NOME;tipo;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Região Metropolitana de Curitiba;total;704;689;724;765;837;871;749;826;834;767;753;727;671;609;636;478;528;510;485;474;452
Região Metropolitana de Chapecó;total;104;95;121;90;123;138;141;144;178;144;167;193;131;125;140;127;128;129;125;119;105
Região Metropolitana de Central;total;10;5;10;9;5;5;5;7;5;5;14;8;8;9;9;3;5;3;5;2;10
Região Metropolitana de Cascavel;total;178;167;178;212;237;208;223;207;202;203;242;205;233;201;167;155;153;167;129;138;149
Região Metropolitana de Campo Mourão;total;82;86;89;103;132;127;100;117;126;112;132;126;165;134;149;119;132;147;100;95;108
Região Metropolitana de Campinas;total;434;447;441;423;489;501;483;572;555;468;508;523;433;430;450;400;395;380;343;350;376
Região Metropolitana de Campina Grande;total;104;122;268;190;202;197;241;269;265;197;216;210;290;329;306;307;277;238;244;207;225
Região Metropolitana de Cajazeiras;total;8;15;22;19;12;17;19;11;10;35;25;32;33;30;49;46;42;35;38;32;30
Região Metropolitana de Caetés;total;17;20;25;13;14;20;16;28;33;15;25;27;22;33;28;24;30;18;21;17;26
Região Metropolitana de Belo Horizonte;total;799;915;917;950;1035;1091;1204;1170;1148;1067;1093;1099;1059;989;987;831;755;689;666;583;550
Região Metropolitana de Belém;total;288;328;347;359;314;404;378;306;351;301;461;491;529;473;473;442;428;372;354;370;369
Região Metropolitana de Barra de Santa Rosa;total;5;0;8;2;13;2;12;9;12;7;14;14;18;23;15;26;20;13;14;19;13
Região Metropolitana de Araruna;total;4;2;1;6;6;11;5;4;8;2;10;13;16;13;15;9;18;9;8;7;12
Região Metropolitana de Aracaju;total;173;190;223;199;220;201;208;217;252;304;321;317;293;326;256;263;206;196;169;191;162
Região Metropolitana de Apucarana;total;80;78;75;85;80;90;100;85;115;104;108;140;147;118;122;108;86;92;94;80;72
