NOME;tipo;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Região Metropolitana de Tubarão;Total;1,232320058;1,823830165;1,504505995;2,381434338;3,784779944;4,602263738;2,274006401;1,174732675;1,702238728;1,969417756;2,803311271;1,948530947;2,488408165;2,145289748;1,860217911;2,107187353;1,044427327;3,106490494;1,544512861;1,276623993;2,026414311
Região Metropolitana de Toledo;Total;3,724614425;3,412757508;5,891765173;5,888788676;3,405720372;4,022625723;7,112815438;9,105328086;5,648632466;2,8008537;6,691574193;6,639500046;8,786767129;7,383070619;10,7149764;9,06933115;9,251454534;9,177165174;4,052849153;4,769998218;7,964716307
Região Metropolitana de Sousa;Total;1,880972086;0;1,875662343;7,492671231;4,670103863;2,797802792;13,03659559;10,03878622;13,30258957;12,35308651;16,04035039;14,20227591;21,22391227;19,03954167;19,81170269;28,2980037;22,19926401;11,90435699;21,35237396;21,2949003;18,68206522
Região Metropolitana de Sorocaba;Total;2,245501979;2,734172785;4,176533728;3,333387915;3,200068268;2,526584058;3,763902242;4,348495278;3,556894164;2,75841628;4,489189071;5,656090658;4,289420824;4,350750504;3,806800429;3,178344229;2,999536523;3,68706668;3,726248116;3,358544183;3,645828526
Região Metropolitana de Sobral;Total;3,482743008;2,935808546;8,450534194;11,19487418;11,81332172;14,60220402;19,07934313;21,4177649;20,1070757;20,11773247;28,88397113;32,47947448;34,73968679;38,64157123;55,55567072;53,71431394;52,93654768;45,07696587;47,63173404;40,40079194;49,93658054
Região Metropolitana de São Paulo;Total;2,690157051;4,302719484;3,050442078;3,988524216;3,607396103;4,164201473;4,294243386;4,733691613;4,465727909;4,125978043;4,653531616;4,747116656;4,615016894;4,187702652;4,790973138;3,736227816;3,469388111;2,982475758;2,368890378;3,133241149;3,46216073
Região Metropolitana de Santarém;Total;2,525872148;2,499330536;4,967040141;11,96963936;13,14756061;10,64545817;8,170685623;10,80169482;17,33510845;5,875521885;7,07627582;10,52661799;0,949373097;0,624021067;2,168619457;0,307690414;7,030629088;18,83370748;10,11083257;25,11783218;26,43148519
Região Metropolitana de Salvador;Total;3,845780362;4,713937826;5,104214132;4,901408622;4,389814334;13,54638987;13,83227822;10,62773499;5,132146185;4,733569857;14,52165419;12,71854985;14,60462374;11,84213406;11,81163428;8,878685287;7,704695824;7,322166614;5,103175175;6,031748375;5,862189032
Região Metropolitana de Ribeirão Preto;Total;3,439583337;3,904938771;3,930359954;2,92553989;3,554375187;3,500062301;4,137306159;2,64842451;2,621217514;3,759460169;4,301388356;3,995417714;3,567180384;4,654164546;3,744688374;4,191990746;3,668852942;3,990684432;3,935437676;3,661792221;4,718066743
Região Metropolitana de Porto Velho;Total;19,84081342;14,32262413;20,15694807;23,58778316;21,84711041;16,89634604;33,390239;28,23241755;30,78227345;34,21783523;40,37420869;33,55086574;40,77775476;29,13586566;26,08262202;25,81120244;18,28569723;14,50334311;13,74850141;11,68566636;13,76287623
Região Metropolitana de Porto Alegre;Total;1,718169457;1,638483451;1,848741136;2,077794659;1,849335842;1,943705904;1,628453879;1,389408539;1,654746812;1,739418237;1,711283209;1,431666791;1,326866742;1,563727215;1,58004409;1,573166568;1,07565226;0,931738508;1,134913936;1,543518111;0,939714561
Região Metropolitana de Patos;Total;1,472956518;0,973472864;3,390914287;2,893030208;10,02831806;6,175097258;10,39545246;7,922822389;9,975017116;23,4213134;24,11963338;19,01046028;17,11172153;17,1484351;22,28475548;17,37400588;21,56845829;18,447889;22,01198142;15,04496295;17,12079577
Região Metropolitana de Palmeira dos Índios;Total;15,34212949;6,219485649;9,421222875;9,524414249;9,749439407;6,585879874;3,336781341;11,82941977;5,746135724;8,570449092;14,54884046;20,28867892;25,97777457;19,42178569;27,64722145;33,0669606;32,96341061;16,43385374;16,68613382;8,335417188;13,86001386
Região Metropolitana de Palmas;Total;15,97503815;16,7953774;21,78283139;19,16443082;17,34901381;19,99824015;15,65877225;30,95436737;22,0300868;32,40395046;27,24373394;33,06975514;26,43671531;23,28788391;22,38453497;27,45677754;24,16073794;25,65521511;21,62557108;24,34626161;24,95207376
Região Metropolitana de Natal;Total;11,26252956;10,77911439;9,183400638;8,534975452;7,908774209;7,673251871;7,005780875;7,608853692;8,545416699;9,442652823;10,99783498;10,37075086;9,763483061;10,93678473;11,17877248;10,20623614;9,639270767;11,76574587;12,77229564;10,0354524;8,767541214
Região Metropolitana de Maringá;Total;3,727014046;2,54570333;4,863485111;4,63810419;6,450799899;4,13269493;4,358051718;5,513549921;5,217270324;4,017844971;5,021494787;4,002274396;7,786906522;6,536750921;6,202872705;7,540360097;4,425315841;4,504555231;4,193523719;4,509483932;5,180903911
Região Metropolitana de Manaus;Total;15,47345289;11,11270755;11,79410887;12,04396851;12,54661917;13,70918091;16,03951358;13,14739859;13,51829523;13,23571836;17,1443021;17,17167403;14,49271555;13,81916471;13,51848683;13,70893708;12,84638026;11,63526358;12,16157103;10,9827056;10,69061364
Região Metropolitana de Maceió;Total;17,45815222;20,35007923;17,24106898;13,02328004;14,52020145;14,49648438;15,25133686;12,56985941;17,83134956;16,42366659;18,68015019;24,16248561;22,33930593;18,5204972;22,2811155;18,36251495;17,60362202;14,87163251;11,37699867;15,09789241;17,85153677
