NOME;tipo;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Região Metropolitana de Curitiba;total;67;56;45;50;42;76;42;54;57;41;37;46;53;36;40;39;41;59;46;54;75
Região Metropolitana de Chapecó;total;4;14;7;3;4;8;4;8;13;4;3;13;8;5;12;11;16;13;16;22;10
Região Metropolitana de Central;total;8;5;9;9;4;4;1;7;3;5;12;8;7;6;9;2;3;3;3;2;10
Região Metropolitana de Cascavel;total;12;12;10;8;15;7;9;15;14;9;6;10;24;29;24;19;9;22;17;15;30
Região Metropolitana de Campo Mourão;total;17;6;10;12;16;11;7;19;11;32;41;44;63;52;52;50;54;62;38;38;42
Região Metropolitana de Campinas;total;73;73;98;86;122;111;112;121;118;97;130;142;120;117;119;113;117;130;116;121;119
Região Metropolitana de Campina Grande;total;81;88;175;165;187;186;224;252;252;190;206;194;265;290;276;263;244;198;223;184;203
Região Metropolitana de Cajazeiras;total;1;5;7;5;6;7;9;6;6;21;14;22;28;19;37;35;32;27;29;24;28
Região Metropolitana de Caetés;total;12;11;14;6;7;13;10;18;22;10;22;21;20;30;25;23;29;17;18;17;24
Região Metropolitana de Belo Horizonte;total;457;526;526;546;608;621;718;725;673;642;666;678;658;610;625;525;485;459;418;359;372
Região Metropolitana de Belém;total;247;264;317;335;289;363;329;265;305;271;421;448;476;419;427;403;389;334;314;343;326
Região Metropolitana de Barra de Santa Rosa;total;2;0;4;2;10;1;11;9;11;5;13;13;18;20;7;15;18;11;14;18;12
Região Metropolitana de Araruna;total;2;0;0;1;3;7;4;4;6;2;3;9;14;9;10;7;11;6;5;7;11
Região Metropolitana de Aracaju;total;67;100;130;99;113;132;117;147;156;204;243;239;244;256;215;230;183;175;142;174;146
Região Metropolitana de Apucarana;total;16;13;11;17;22;9;18;13;15;17;16;20;35;35;24;31;20;22;11;30;32
Região Metropolitana da Zona da Mata;total;28;20;32;18;18;20;16;34;26;34;42;57;43;45;34;62;50;46;31;28;37
Região Metropolitana da Serra Gaúcha;total;3;8;8;7;9;10;9;5;9;15;12;7;12;11;9;5;12;8;10;8;9
Região Metropolitana da Grande Vitória;total;160;156;187;177;184;200;181;237;233;233;255;257;287;279;246;200;186;210;200;191;181
Região Metropolitana da Grande São Luís;total;104;155;178;175;186;207;195;236;295;238;276;283;343;288;285;265;251;204;208;200;225
Região Metropolitana da Foz do Rio Itajaí;total;7;9;9;9;13;9;12;11;16;10;16;15;20;9;12;11;9;12;16;20;20
Região Metropolitana da Capital;total;62;68;88;46;40;61;62;88;71;77;91;92;83;108;85;121;76;93;56;74;82
