"mun";"indicador";"resultado"
"belem";"tma_station";22
"belem";"tma_near_bike";22
"belem";"perc_tma_bike";100
"belo horizonte";"tma_station";63
"belo horizonte";"tma_near_bike";25
"belo horizonte";"perc_tma_bike";40
"distrito federal";"tma_station";36
"distrito federal";"tma_near_bike";28
"distrito federal";"perc_tma_bike";78
"curitiba";"tma_station";124
"curitiba";"tma_near_bike";82
"curitiba";"perc_tma_bike";66
"fortaleza";"tma_station";25
"fortaleza";"tma_near_bike";20
"fortaleza";"perc_tma_bike";80
"goiania";"tma_station";54
"goiania";"tma_near_bike";7
"goiania";"perc_tma_bike";13
"porto alegre";"tma_station";81
"porto alegre";"tma_near_bike";19
"porto alegre";"perc_tma_bike";23
"recife";"tma_station";35
"recife";"tma_near_bike";16
"recife";"perc_tma_bike";46
"rio de janeiro";"tma_station";271
"rio de janeiro";"tma_near_bike";93
"rio de janeiro";"perc_tma_bike";34
"salvador";"tma_station";32
"salvador";"tma_near_bike";20
"salvador";"perc_tma_bike";62
"sao paulo";"tma_station";176
"sao paulo";"tma_near_bike";123
"sao paulo";"perc_tma_bike";70
