UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
AC;12;00013;Acrelândia;5227;1142;0;235;19;533;43;0;2;8;2806;326;43;0;40;24;0;0;0;0;0;6
AC;12;00054;Assis Brasil;1527;268;0;26;0;117;16;0;2;3;975;108;2;0;9;0;0;0;0;0;0;1
AC;12;00104;Brasiléia;8198;1929;0;256;83;921;75;0;5;5;3803;889;18;0;67;123;0;0;0;0;3;21
AC;12;00138;Bujari;1834;538;0;109;16;229;19;0;12;5;825;40;12;0;16;10;0;0;0;0;2;1
AC;12;00179;Capixaba;1866;521;0;77;2;208;17;0;2;2;889;111;13;0;16;6;0;0;0;0;0;2
AC;12;00203;Cruzeiro do Sul;29356;5832;0;712;62;2442;281;1;32;57;14022;5586;72;0;32;121;0;1;0;0;12;91
AC;12;00252;Epitaciolândia;5444;1380;0;222;108;671;57;0;2;3;2126;645;14;0;69;130;0;0;0;0;2;15
AC;12;00302;Feijó;3305;498;0;114;6;323;30;0;25;1;1762;510;7;0;9;8;0;0;0;0;3;9
AC;12;00328;Jordão;94;11;0;2;0;11;0;0;0;0;45;25;0;0;0;0;0;0;0;0;0;0
AC;12;00336;Mâncio Lima;3249;506;0;92;5;260;20;0;1;4;1870;461;13;0;2;8;0;0;0;0;0;7
AC;12;00344;Manoel Urbano;986;197;0;47;0;123;5;0;2;0;489;90;5;0;24;2;0;0;0;0;0;2
AC;12;00351;Marechal Thaumaturgo;306;6;0;11;0;26;0;0;0;0;224;30;9;0;0;0;0;0;0;0;0;0
AC;12;00385;Plácido de Castro;4244;1160;0;149;13;415;39;0;6;3;2030;339;20;0;44;14;3;0;0;0;6;3
AC;12;00807;Porto Acre;3349;724;0;169;5;366;37;0;5;2;1844;125;38;0;24;7;0;2;0;0;0;1
AC;12;00393;Porto Walter;246;4;0;9;0;21;1;0;0;0;173;33;5;0;0;0;0;0;0;0;0;0
AC;12;00401;Rio Branco;171491;63999;0;4181;466;16605;3322;8;436;226;65915;11086;771;0;2452;808;55;21;0;2;124;1014
AC;12;00427;Rodrigues Alves;1311;140;0;16;1;82;3;0;1;0;842;217;7;0;0;1;0;0;0;0;0;1
AC;12;00435;Santa Rosa do Purus;152;14;0;4;0;18;0;0;0;0;96;14;3;0;3;0;0;0;0;0;0;0
AC;12;00500;Sena Madureira;7485;1323;0;99;4;748;48;0;17;6;3833;1327;9;0;52;5;0;0;0;0;2;12
AC;12;00450;Senador Guiomard;6161;1908;0;343;35;678;66;0;14;8;2544;367;33;0;101;43;1;0;0;0;3;17
AC;12;00609;Tarauacá;4331;514;0;144;8;341;43;0;9;23;2141;1029;26;0;13;10;0;0;0;0;10;20
AC;12;00708;Xapuri;3679;719;0;68;4;331;17;1;3;4;2208;270;6;0;33;6;1;0;0;0;1;7
AL;27;00102;Água Branca;3852;874;0;74;2;505;37;0;0;78;2111;129;12;0;20;8;0;0;0;0;0;2
AL;27;00201;Anadia;2558;928;0;49;0;140;77;0;0;41;1043;187;37;0;44;9;0;0;0;0;0;3
AL;27;00300;Arapiraca;99114;30883;0;2866;413;6456;1665;1;41;394;39331;13675;411;0;1641;855;10;3;0;0;30;439
AL;27;00409;Atalaia;5975;3302;0;206;15;253;155;1;0;48;1358;105;136;0;327;58;0;0;0;0;2;9
AL;27;00508;Barra de Santo Antônio;1808;819;0;32;2;98;37;0;0;6;671;43;25;0;58;11;0;0;0;0;0;6
AL;27;00607;Barra de São Miguel;1557;764;0;27;0;96;40;0;1;6;511;31;9;0;45;11;0;0;0;0;1;15
AL;27;00706;Batalha;3376;1028;0;117;3;213;24;0;0;42;1634;235;14;0;43;12;0;0;0;0;1;10
AL;27;00805;Belém;1102;322;0;12;0;61;17;0;0;23;603;27;6;0;26;5;0;0;0;0;0;0
AL;27;00904;Belo Monte;683;160;0;36;0;58;7;0;0;14;386;11;7;0;1;1;0;0;0;0;0;2
