UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
AC;12;00013;Acrelândia;673;126;0;48;4;21;63;0;0;0;355;40;9;0;3;3;1;0;0;0;0;0
AC;12;00054;Assis Brasil;126;32;0;10;0;3;15;0;0;0;46;19;1;0;0;0;0;0;0;0;0;0
AC;12;00104;Brasiléia;1348;304;0;83;10;43;104;0;0;0;504;273;3;0;9;15;0;0;0;0;0;0
AC;12;00138;Bujari;195;66;0;29;1;8;18;0;0;3;59;6;2;0;2;1;0;0;0;0;0;0
AC;12;00179;Capixaba;148;47;0;12;1;9;18;0;0;1;48;7;2;0;2;1;0;0;0;0;0;0
AC;12;00203;Cruzeiro do Sul;5830;1448;0;238;0;228;524;1;0;19;2577;774;16;0;2;0;0;0;0;0;0;3
AC;12;00252;Epitaciolândia;864;225;0;71;3;30;75;0;0;0;303;141;7;0;4;5;0;0;0;0;0;0
AC;12;00302;Feijó;468;47;0;27;0;26;26;0;0;0;254;88;0;0;0;0;0;0;0;0;0;0
AC;12;00328;Jordão;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
AC;12;00336;Mâncio Lima;434;42;0;14;1;14;23;0;0;1;287;48;4;0;0;0;0;0;0;0;0;0
AC;12;00344;Manoel Urbano;57;6;0;3;0;5;3;0;0;0;37;3;0;0;0;0;0;0;0;0;0;0
AC;12;00351;Marechal Thaumaturgo;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
AC;12;00385;Plácido de Castro;580;194;0;38;0;22;61;0;0;1;205;55;1;0;1;1;1;0;0;0;0;0
AC;12;00807;Porto Acre;314;62;0;31;2;13;43;0;0;2;143;14;0;0;1;3;0;0;0;0;0;0
AC;12;00393;Porto Walter;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
AC;12;00401;Rio Branco;51226;22477;0;2450;173;2967;4637;10;9;78;13750;3362;329;0;675;246;13;2;0;1;2;45
AC;12;00427;Rodrigues Alves;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
AC;12;00435;Santa Rosa do Purus;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AC;12;00500;Sena Madureira;1006;220;0;38;1;82;83;0;0;1;388;191;1;0;1;0;0;0;0;0;0;0
AC;12;00450;Senador Guiomard;980;330;0;92;6;57;133;0;0;0;252;90;5;0;9;6;0;0;0;0;0;0
AC;12;00609;Tarauacá;890;64;0;26;0;24;32;0;0;0;488;254;0;0;1;0;0;0;0;0;0;1
AC;12;00708;Xapuri;550;158;0;18;0;26;36;1;0;0;254;52;0;0;5;0;0;0;0;0;0;0
AL;27;00102;Água Branca;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
AL;27;00201;Anadia;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
AL;27;00300;Arapiraca;31700;10307;0;1919;195;988;2650;0;1;291;10976;3635;225;0;287;198;8;4;0;0;4;12
AL;27;00409;Atalaia;4386;2139;0;415;19;118;475;1;0;112;788;54;113;0;101;48;0;0;0;0;0;3
AL;27;00508;Barra de Santo Antônio;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
