UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
GO;52;21577;Uirapuru;1182;541;0;26;0;144;30;0;4;8;333;43;9;0;44;0;0;0;0;0;0;0
GO;52;21601;Uruaçu;34720;12893;0;879;512;3217;611;0;303;46;7809;4477;113;0;2587;996;0;3;0;8;11;255
GO;52;21700;Uruana;10182;4198;0;361;20;1269;163;0;90;19;2430;1021;24;0;520;27;0;0;0;0;2;38
GO;52;21809;Urutaí;1761;842;0;35;0;253;43;0;50;3;376;73;12;0;67;2;0;0;0;0;0;5
GO;52;21858;Valparaíso de Goiás;42181;21162;0;831;121;2567;1326;0;83;247;7454;870;263;0;6715;180;0;21;0;2;15;324
GO;52;21908;Varjão;2461;1033;0;84;3;325;48;0;13;5;727;106;9;0;95;8;0;0;0;0;1;4
GO;52;22005;Vianópolis;12527;5527;0;746;260;1929;350;0;58;55;1956;446;76;0;596;429;0;1;0;1;3;94
GO;52;22054;Vicentinópolis;6254;2294;0;221;263;683;83;0;21;8;1206;495;101;0;388;456;0;2;0;0;0;33
GO;52;22203;Vila Boa;1012;449;0;58;7;111;18;0;1;5;232;39;42;0;31;18;0;0;0;0;0;1
GO;52;22302;Vila Propício;1331;585;0;78;10;209;32;0;1;20;248;33;30;0;70;6;0;0;0;0;1;8
MA;21;00055;Açailândia;52755;12718;0;1832;452;4670;682;0;450;148;21550;7786;452;0;973;738;1;11;0;17;36;239
MA;21;00105;Afonso Cunha;807;84;0;14;0;55;2;0;0;1;571;67;9;0;1;1;0;0;0;0;0;2
MA;21;00154;Água Doce do Maranhão;801;78;0;8;0;66;13;0;0;6;571;41;11;0;2;2;0;0;0;0;0;3
MA;21;00204;Alcântara;2450;446;0;53;2;219;36;0;0;38;1429;146;69;0;0;3;0;1;0;0;0;8
MA;21;00303;Aldeias Altas;3646;517;0;48;0;185;11;0;1;5;2480;306;33;0;48;4;0;0;0;0;1;7
MA;21;00402;Altamira do Maranhão;1726;242;0;29;1;127;6;0;0;3;1090;213;4;0;3;2;0;0;0;0;0;6
MA;21;00436;Alto Alegre do Maranhão;5198;916;0;84;22;277;31;0;9;36;3107;611;3;0;46;33;0;0;0;0;0;23
