UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
AC;12;13;Acrelândia;7553;1711;0;462;38;837;61;0;5;10;3749;452;43;0;98;59;0;2;0;0;1;25
AC;12;54;Assis Brasil;2203;398;0;30;0;192;23;0;4;3;1381;142;4;0;22;0;0;0;0;0;0;4
AC;12;104;Brasiléia;12126;2812;0;326;286;1649;130;0;7;7;5228;1065;23;0;167;376;0;0;0;0;3;47
AC;12;138;Bujari;2675;749;0;134;42;329;17;0;11;6;1200;82;18;0;36;47;0;0;0;0;1;3
AC;12;179;Capixaba;2710;758;0;95;6;301;25;0;8;3;1303;147;17;0;33;10;0;0;0;0;0;4
AC;12;203;Cruzeiro do Sul;38777;8089;0;752;116;3425;399;1;40;60;17602;7726;88;0;72;233;0;1;0;0;9;164
AC;12;252;Epitaciolândia;7926;2200;0;318;111;1135;117;0;7;11;2862;828;18;0;126;173;0;0;0;0;3;17
AC;12;302;Feijó;4737;704;0;125;5;388;42;0;51;4;2581;765;11;0;27;9;0;1;0;0;12;12
AC;12;328;Jordão;159;15;0;6;0;15;2;0;0;0;86;35;0;0;0;0;0;0;0;0;0;0
AC;12;336;Mâncio Lima;4238;763;0;100;4;353;30;0;1;4;2341;611;18;0;2;7;0;0;0;0;0;4
AC;12;344;Manoel Urbano;1460;258;0;61;5;172;12;0;2;0;755;148;5;0;28;8;0;0;0;0;0;6
AC;12;351;Marechal Thaumaturgo;433;9;0;13;0;38;2;0;0;0;307;54;9;0;0;0;0;0;0;0;0;1
AC;12;385;Plácido de Castro;5549;1512;0;161;15;596;56;0;8;5;2577;458;30;0;92;20;3;0;0;0;5;11
AC;12;807;Porto Acre;4481;988;0;175;7;519;48;0;10;3;2454;176;41;0;40;10;0;2;0;0;0;8
AC;12;393;Porto Walter;417;8;0;10;0;44;0;0;0;0;279;70;5;0;0;0;0;0;0;0;0;1
AC;12;401;Rio Branco;207593;74467;0;4635;613;19029;3803;8;704;290;80578;16176;1029;0;3617;995;55;39;0;4;135;1416
AC;12;427;Rodrigues Alves;1946;257;0;30;1;133;7;0;2;1;1142;359;11;0;0;0;0;0;0;0;0;3
AC;12;435;Santa Rosa do Purus;238;18;0;5;1;26;0;0;1;0;158;23;3;0;3;0;0;0;0;0;0;0
AC;12;500;Sena Madureira;10411;1767;0;133;15;1086;67;0;33;6;5241;1911;11;0;86;25;0;1;0;0;2;27
AC;12;450;Senador Guiomard;7865;2439;0;351;74;858;86;0;24;12;3180;514;41;0;180;79;1;1;0;0;4;21
AC;12;609;Tarauacá;5726;724;0;164;20;435;46;0;8;16;2750;1452;23;0;27;31;0;0;0;0;9;21
AC;12;708;Xapuri;5154;904;0;94;4;493;36;1;3;4;3157;375;7;0;54;4;1;0;0;0;3;14
AL;27;102;Água Branca;5184;1247;0;160;6;591;44;0;17;98;2765;163;31;0;32;14;0;7;0;0;0;9
AL;27;201;Anadia;3354;1233;0;56;1;183;105;0;4;33;1373;212;51;0;77;11;0;0;0;0;0;15
AL;27;300;Arapiraca;130573;40438;0;3331;578;8046;2425;1;1427;483;51300;16958;649;0;2566;1098;10;9;0;0;38;1216
AL;27;409;Atalaia;8221;4267;0;240;19;317;204;0;99;52;2065;215;180;0;454;56;0;10;0;0;2;41
AL;27;508;Barra de Santo Antônio;2866;1191;0;29;4;148;55;0;212;11;980;85;36;0;82;18;0;0;0;0;0;15
AL;27;607;Barra de São Miguel;2494;1041;0;25;1;154;72;0;245;4;740;63;19;0;80;12;0;0;0;0;2;36
AL;27;706;Batalha;4524;1415;0;159;11;318;48;0;0;48;2089;298;22;0;82;15;0;0;0;0;1;18
AL;27;805;Belém;1350;368;0;19;0;79;20;0;1;21;756;33;8;0;39;5;0;0;0;0;0;1
AL;27;904;Belo Monte;933;215;0;36;3;80;7;0;0;18;538;17;8;0;3;5;0;0;0;0;0;3
AL;27;1001;Boca da Mata;6294;2070;0;207;29;308;100;0;8;83;2515;595;108;0;185;72;0;0;0;1;2;11
AL;27;1100;Branquinha;1704;513;0;33;0;97;22;0;15;21;905;35;27;0;31;5;0;0;0;0;0;0
AL;27;1209;Cacimbinhas;2527;722;0;99;2;161;29;0;5;39;1319;73;15;0;44;12;0;0;0;0;0;7
AL;27;1308;Cajueiro;3398;1178;0;93;3;142;72;0;13;11;1490;197;52;0;119;20;0;0;0;0;1;7
AL;27;1357;Campestre;777;340;0;43;3;66;37;0;0;47;175;22;12;0;22;5;0;0;0;0;1;4
AL;27;1407;Campo Alegre;6035;2245;0;146;53;339;97;2;26;121;1982;524;168;0;195;114;0;2;0;0;1;20
AL;27;1506;Campo Grande;2823;616;0;47;0;138;19;0;1;17;1820;117;23;0;14;4;0;0;0;0;0;7
AL;27;1605;Canapi;3333;887;0;94;2;285;26;0;5;103;1741;96;29;0;45;7;0;5;0;0;1;7
AL;27;1704;Capela;2422;930;0;68;5;129;57;0;21;4;944;80;72;0;82;24;0;0;0;0;0;6
AL;27;1803;Carneiros;1486;415;0;35;3;98;14;0;0;17;821;29;11;0;29;7;0;0;0;0;0;7
AL;27;1902;Chã Preta;1521;370;0;35;2;123;21;0;0;13;901;19;10;0;20;5;0;0;0;0;0;2
AL;27;2009;Coité do Nóia;3309;778;0;90;4;169;30;0;2;8;1985;174;30;0;22;7;0;0;0;0;4;6
AL;27;2108;Colônia Leopoldina;2189;915;0;115;4;165;76;0;3;39;731;54;41;0;34;5;0;0;0;0;0;7
AL;27;2207;Coqueiro Seco;1306;531;0;13;0;52;18;0;49;2;590;14;8;0;23;5;0;0;0;0;0;1
AL;27;2306;Coruripe;15819;4792;0;374;41;1114;210;0;130;94;6289;1640;261;0;585;194;0;1;0;1;1;92
AL;27;2355;Craíbas;7273;2126;0;222;20;544;81;0;26;41;3433;599;44;0;79;33;0;0;0;1;0;24
AL;27;2405;Delmiro Gouveia;24877;8917;0;990;57;2034;363;1;346;502;9423;1598;143;0;281;116;0;12;0;0;13;81
AL;27;2504;Dois Riachos;3328;793;0;100;5;184;53;0;1;19;1968;91;15;0;66;23;1;0;0;5;0;4
AL;27;2553;Estrela de Alagoas;3936;1152;0;61;1;281;30;0;9;89;2099;106;29;0;60;13;0;0;0;0;0;6
AL;27;2603;Feira Grande;5660;1173;0;104;9;459;50;0;7;8;3132;606;55;0;32;14;1;0;0;0;0;10
AL;27;2702;Feliz Deserto;753;283;0;14;0;66;8;0;6;4;290;38;8;0;23;7;0;0;0;0;0;6
AL;27;2801;Flexeiras;1826;788;0;39;0;114;40;0;3;20;660;32;52;0;53;17;0;0;0;0;1;7
AL;27;2900;Girau do Ponciano;10632;3093;0;211;8;601;111;0;13;86;5599;674;111;0;87;19;0;0;0;0;1;18
AL;27;3007;Ibateguara;2678;831;0;64;2;195;46;0;2;72;1253;122;31;0;40;5;0;0;0;0;0;15
AL;27;3106;Igaci;6580;1909;0;145;1;452;58;0;6;120;3351;380;50;0;74;26;0;0;0;0;0;8
AL;27;3205;Igreja Nova;5323;1125;0;73;5;185;39;0;16;26;3326;289;121;0;71;39;0;1;0;0;0;7
AL;27;3304;Inhapi;4959;1089;0;94;10;364;33;0;2;38;2961;297;9;0;48;10;0;0;0;0;0;4
AL;27;3403;Jacaré dos Homens;1112;352;0;35;4;64;6;0;1;16;566;25;20;0;18;5;0;0;0;0;0;0
AL;27;3502;Jacuípe;774;282;0;15;0;53;32;0;1;14;328;10;21;0;15;0;0;0;0;0;1;2
AL;27;3601;Japaratinga;1795;790;0;28;0;111;45;0;35;19;656;42;14;0;33;8;0;0;0;0;0;14
AL;27;3700;Jaramataia;1020;389;0;28;1;82;7;0;0;15;440;37;6;0;9;5;0;0;0;0;0;1
AL;27;3759;Jequiá da Praia;1587;532;0;40;5;118;21;0;10;9;691;45;53;0;50;7;0;0;0;0;0;6
AL;27;3809;Joaquim Gomes;3171;1143;0;135;6;225;55;0;9;38;1299;50;99;0;84;19;0;0;0;0;1;8
AL;27;3908;Jundiá;767;308;0;25;0;55;23;0;0;9;306;7;15;0;16;3;0;0;0;0;0;0
AL;27;4005;Junqueiro;6779;1800;0;198;79;438;69;1;10;30;2884;780;127;0;226;124;3;0;0;0;0;10
AL;27;4104;Lagoa da Canoa;5845;1547;0;113;4;309;53;0;12;34;3137;494;48;0;55;19;0;1;0;0;0;19
AL;27;4203;Limoeiro de Anadia;6446;1634;0;206;10;500;67;1;26;34;3031;716;87;0;101;17;0;0;0;0;0;16
AL;27;4302;Maceió;392177;208052;0;8982;1446;26572;16093;17;7367;1394;90972;7441;2724;1;9769;3624;18;116;0;98;127;7364
AL;27;4401;Major Isidoro;4107;1203;0;123;32;254;39;0;1;33;2114;107;34;0;77;71;0;0;0;0;0;19
AL;27;4906;Mar Vermelho;1101;283;0;13;1;63;10;0;1;2;671;30;9;0;15;2;0;0;0;0;0;1
AL;27;4500;Maragogi;5390;2325;0;114;1;439;205;0;122;159;1536;240;64;0;114;9;0;5;0;0;5;52
AL;27;4807;Maribondo;3340;1250;0;78;2;266;53;0;19;22;1334;91;20;0;154;32;0;1;0;0;0;18
AL;27;4708;Marechal Deodoro;15550;7218;0;419;40;983;522;0;1008;93;3688;362;208;0;610;135;0;4;0;0;14;246
AL;27;4609;Maravilha;2564;695;0;83;5;169;21;0;1;61;1420;43;12;0;42;9;0;1;0;0;0;2
AL;27;5002;Mata Grande;4861;1115;0;78;2;555;41;0;0;69;2772;132;27;0;51;12;0;0;0;0;0;7
AL;27;5101;Matriz de Camaragibe;4736;1798;0;154;1;322;140;0;110;35;1658;106;162;0;180;37;0;1;0;0;2;30
AL;27;5200;Messias;3117;1246;0;77;7;170;92;0;44;55;1121;88;122;0;62;16;0;0;0;0;0;17
AL;27;5309;Minador do Negrão;1590;489;0;72;0;111;7;0;0;13;842;18;8;0;19;7;0;0;0;0;0;4
AL;27;5408;Monteirópolis;1380;387;0;30;0;97;5;0;0;10;792;32;9;0;14;2;0;0;0;0;0;2
AL;27;5507;Murici;5409;1635;0;155;7;276;106;0;64;24;2466;365;132;0;127;26;0;3;0;0;2;21
AL;27;5606;Novo Lino;2009;946;0;107;10;121;76;0;3;37;544;25;73;0;49;10;0;0;0;0;0;8
AL;27;5705;Olho d'Água das Flores;6817;2069;0;235;17;524;89;0;9;96;3177;266;100;0;154;49;0;0;0;0;0;32
AL;27;5804;Olho d'Água do Casado;1989;680;0;45;1;134;10;0;6;16;1005;59;12;0;17;4;0;0;0;0;0;0
AL;27;5903;Olho d'Água Grande;1190;287;0;13;0;53;5;0;0;3;738;67;13;0;9;1;0;0;0;0;0;1
AL;27;6000;Olivença;2859;774;0;63;0;142;33;0;1;39;1677;61;14;0;31;9;0;0;0;0;0;15
AL;27;6109;Ouro Branco;3327;998;0;126;15;223;46;0;0;69;1641;63;42;0;65;33;0;0;0;0;0;6
AL;27;6208;Palestina;692;255;0;13;1;59;11;0;1;20;297;15;5;0;10;1;0;0;0;0;0;4
AL;27;6307;Palmeira dos Índios;28556;9653;0;707;54;1934;522;0;68;344;12426;1835;88;0;517;245;7;2;0;1;1;152
AL;27;6406;Pão de Açúcar;3781;1110;0;80;6;249;41;0;3;92;1856;239;25;0;55;13;0;0;0;0;3;9
AL;27;6422;Pariconha;2574;596;0;43;0;225;23;0;7;58;1530;55;13;0;15;3;0;0;0;0;1;5
AL;27;6448;Paripueira;2959;1213;0;91;4;215;105;0;197;8;865;61;20;0;118;16;0;1;0;0;0;45
AL;27;6505;Passo de Camaragibe;2283;872;0;42;0;125;32;0;205;12;837;44;34;0;59;12;0;0;0;0;1;8
AL;27;6604;Paulo Jacinto;1514;395;0;16;1;104;13;0;5;10;902;31;9;0;20;6;0;0;0;0;0;2
