UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
AC;12;00013;Acrelândia;1400;274;0;77;6;95;41;0;0;1;786;92;16;0;8;3;1;0;0;0;0;0
AC;12;00054;Assis Brasil;308;68;0;12;0;20;18;0;0;0;147;41;1;0;1;0;0;0;0;0;0;0
AC;12;00104;Brasiléia;2284;592;0;109;15;181;81;0;0;0;841;422;5;0;10;28;0;0;0;0;0;0
AC;12;00138;Bujari;393;134;0;47;0;38;19;0;0;3;137;8;2;0;4;1;0;0;0;0;0;0
AC;12;00179;Capixaba;392;120;0;32;0;32;15;0;0;1;155;26;4;0;5;2;0;0;0;0;0;0
AC;12;00203;Cruzeiro do Sul;8866;2062;0;298;2;635;378;1;0;25;4060;1360;24;0;3;0;0;0;0;0;0;18
AC;12;00252;Epitaciolândia;1521;411;0;88;3;115;77;0;0;1;557;246;8;0;5;10;0;0;0;0;0;0
AC;12;00302;Feijó;767;106;0;45;0;74;25;0;0;1;393;122;0;0;0;0;0;0;0;0;0;1
AC;12;00328;Jordão;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AC;12;00336;Mâncio Lima;713;97;0;26;2;49;26;0;0;1;435;70;4;0;0;2;0;0;0;0;0;1
AC;12;00344;Manoel Urbano;120;8;0;6;0;12;5;0;0;0;75;14;0;0;0;0;0;0;0;0;0;0
AC;12;00351;Marechal Thaumaturgo;4;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
AC;12;00385;Plácido de Castro;1201;362;0;66;0;105;40;0;0;1;491;127;1;0;3;2;2;0;0;0;0;1
AC;12;00807;Porto Acre;759;155;0;63;3;64;42;0;0;3;369;36;17;0;1;5;0;0;0;0;0;1
AC;12;00393;Porto Walter;3;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
AC;12;00401;Rio Branco;70872;29475;0;2767;224;6369;3086;11;10;94;22470;4654;368;0;791;349;50;1;0;1;4;148
AC;12;00427;Rodrigues Alves;33;10;0;4;0;5;1;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0
AC;12;00435;Santa Rosa do Purus;27;5;0;1;0;2;1;0;0;0;15;3;0;0;0;0;0;0;0;0;0;0
AC;12;00500;Sena Madureira;1711;379;0;53;1;177;84;0;0;1;692;321;1;0;1;0;0;0;0;0;0;1
AC;12;00450;Senador Guiomard;1687;551;0;152;9;184;74;0;0;0;554;120;7;0;21;13;0;0;0;0;0;2
AC;12;00609;Tarauacá;1289;105;0;54;0;83;24;0;0;0;678;341;2;0;0;0;0;0;0;0;1;1
AC;12;00708;Xapuri;940;272;0;30;0;73;25;1;0;0;448;84;0;0;6;0;1;0;0;0;0;0
AL;27;00102;Água Branca;928;146;0;33;1;203;63;0;0;7;439;30;1;0;3;2;0;0;0;0;0;0
AL;27;00201;Anadia;731;235;0;17;0;30;62;0;0;34;278;51;18;0;6;0;0;0;0;0;0;0
AL;27;00300;Arapiraca;40431;13029;0;2136;213;2649;1407;1;1;298;14129;5641;203;0;353;294;10;2;0;0;3;62
AL;27;00409;Atalaia;2378;1467;0;187;7;92;127;1;0;40;250;16;72;0;82;34;0;1;0;0;0;2
AL;27;00508;Barra de Santo Antônio;562;384;0;22;0;27;26;0;0;5;68;7;8;0;14;1;0;0;0;0;0;0
AL;27;00607;Barra de São Miguel;441;273;0;16;0;32;12;0;0;3;71;8;4;0;20;2;0;0;0;0;0;0
AL;27;00706;Batalha;856;272;0;65;5;89;18;0;0;10;305;76;2;0;7;5;0;0;0;0;0;2
AL;27;00805;Belém;316;107;0;7;0;15;13;0;0;12;146;11;2;0;3;0;0;0;0;0;0;0
AL;27;00904;Belo Monte;133;22;0;18;0;11;4;0;0;2;73;3;0;0;0;0;0;0;0;0;0;0
AL;27;01001;Boca da Mata;2147;760;0;189;26;103;54;0;0;55;650;106;71;0;49;80;0;0;0;0;1;3
AL;27;01100;Branquinha;236;81;0;9;0;19;12;0;0;19;83;1;7;0;2;1;0;0;0;0;0;2
AL;27;01209;Cacimbinhas;648;190;0;28;0;46;20;0;0;14;309;28;5;0;8;0;0;0;0;0;0;0
AL;27;01308;Cajueiro;818;318;0;94;0;33;35;0;0;10;230;16;35;0;41;5;0;0;0;0;0;1
AL;27;01357;Campestre;133;56;0;3;0;8;24;0;0;20;11;0;6;0;4;1;0;0;0;0;0;0
AL;27;01407;Campo Alegre;1185;419;0;115;12;46;44;4;0;90;195;30;101;0;77;51;0;0;0;0;0;1
AL;27;01506;Campo Grande;494;87;0;32;0;25;7;0;0;9;310;21;3;0;0;0;0;0;0;0;0;0
AL;27;01605;Canapi;702;118;0;16;0;64;11;0;0;15;448;23;6;0;1;0;0;0;0;0;0;0
AL;27;01704;Capela;585;277;0;53;1;27;24;0;0;5;141;14;13;0;21;9;0;0;0;0;0;0
AL;27;01803;Carneiros;264;66;0;20;0;41;12;0;0;1;116;6;0;0;1;0;0;0;0;0;0;1
AL;27;01902;Chã Preta;357;100;0;17;0;29;10;0;0;4;189;2;1;0;5;0;0;0;0;0;0;0
AL;27;02009;Coité do Nóia;533;75;0;18;0;27;7;0;0;3;343;44;14;0;2;0;0;0;0;0;0;0
AL;27;02108;Colônia Leopoldina;387;195;0;33;0;25;24;0;0;14;78;6;10;0;2;0;0;0;0;0;0;0
AL;27;02207;Coqueiro Seco;244;139;0;5;0;6;10;0;0;1;75;0;3;0;5;0;0;0;0;0;0;0
AL;27;02306;Coruripe;4148;1425;0;267;20;292;101;2;0;32;1283;217;118;0;275;109;0;0;0;0;0;7
AL;27;02355;Craíbas;980;236;0;50;0;105;48;0;0;22;398;102;14;0;4;1;0;0;0;0;0;0
AL;27;02405;Delmiro Gouveia;7025;2662;0;332;18;654;321;1;0;230;2412;307;24;0;24;36;0;0;0;0;0;4
