UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
AC;12;00013;Acrelândia;923;174;0;54;3;54;49;0;0;0;515;55;11;0;4;3;1;0;0;0;0;0
AC;12;00054;Assis Brasil;171;39;0;11;0;7;15;0;0;0;75;23;1;0;0;0;0;0;0;0;0;0
AC;12;00104;Brasiléia;1609;387;0;96;11;90;96;0;0;0;585;310;3;0;11;20;0;0;0;0;0;0
AC;12;00138;Bujari;262;85;0;34;0;16;21;0;0;3;89;8;2;0;3;1;0;0;0;0;0;0
AC;12;00179;Capixaba;196;55;0;16;1;18;17;0;0;0;68;13;3;0;3;2;0;0;0;0;0;0
AC;12;00203;Cruzeiro do Sul;6812;1660;0;249;0;402;440;1;0;23;3088;929;15;0;1;0;0;0;0;0;0;4
AC;12;00252;Epitaciolândia;1104;292;0;78;3;68;70;0;0;1;394;181;6;0;5;6;0;0;0;0;0;0
AC;12;00302;Feijó;532;68;0;28;0;44;25;0;0;1;278;88;0;0;0;0;0;0;0;0;0;0
AC;12;00328;Jordão;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
AC;12;00336;Mâncio Lima;543;60;0;16;2;28;19;0;0;1;359;54;4;0;0;0;0;0;0;0;0;0
AC;12;00344;Manoel Urbano;67;6;0;4;0;7;2;0;0;0;44;4;0;0;0;0;0;0;0;0;0;0
AC;12;00351;Marechal Thaumaturgo;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
AC;12;00385;Plácido de Castro;751;237;0;45;0;54;48;0;0;1;288;73;1;0;2;1;1;0;0;0;0;0
AC;12;00807;Porto Acre;446;92;0;45;2;24;44;0;0;3;193;21;13;0;3;6;0;0;0;0;0;0
AC;12;00393;Porto Walter;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
AC;12;00401;Rio Branco;55827;24084;0;2481;194;4375;3743;10;10;81;15759;3688;343;0;711;259;23;2;0;1;2;61
AC;12;00427;Rodrigues Alves;5;0;0;2;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
AC;12;00435;Santa Rosa do Purus;4;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
AC;12;00500;Sena Madureira;1179;259;0;42;0;109;82;0;0;1;463;221;1;0;1;0;0;0;0;0;0;0
AC;12;00450;Senador Guiomard;1177;385;0;117;8;116;96;0;0;0;333;95;6;0;12;9;0;0;0;0;0;0
AC;12;00609;Tarauacá;947;65;0;30;0;45;24;0;0;0;524;257;0;0;1;0;0;0;0;0;0;1
AC;12;00708;Xapuri;653;189;0;23;0;48;30;1;0;0;305;51;0;0;5;0;1;0;0;0;0;0
AL;27;00102;Água Branca;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
