UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
AC;12;00013;Acrelândia;2146;440;0;124;6;140;23;0;0;1;1226;143;17;0;15;8;1;0;0;0;0;2
AC;12;00054;Assis Brasil;454;89;0;11;0;50;7;0;0;0;246;47;2;0;2;0;0;0;0;0;0;0
AC;12;00104;Brasiléia;3302;839;0;127;19;319;44;0;0;0;1360;528;6;0;13;42;0;0;0;0;0;5
AC;12;00138;Bujari;638;204;0;66;0;73;11;0;0;3;260;13;2;0;4;1;0;0;0;0;0;1
AC;12;00179;Capixaba;631;187;0;48;0;65;5;0;0;1;259;51;5;0;10;0;0;0;0;0;0;0
AC;12;00203;Cruzeiro do Sul;12392;2638;0;367;8;1082;172;1;0;26;6057;1961;30;0;4;6;0;0;0;0;0;40
AC;12;00252;Epitaciolândia;2181;602;0;104;4;233;37;0;0;1;839;331;9;0;8;9;0;0;0;0;1;3
AC;12;00302;Feijó;1149;147;0;60;0;142;16;0;0;1;604;175;1;0;1;0;0;0;0;0;0;2
AC;12;00328;Jordão;8;3;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0
AC;12;00336;Mâncio Lima;1135;145;0;39;6;107;8;0;0;1;702;106;5;0;0;16;0;0;0;0;0;0
AC;12;00344;Manoel Urbano;227;35;0;11;0;34;3;0;0;0;118;25;0;0;1;0;0;0;0;0;0;0
AC;12;00351;Marechal Thaumaturgo;27;2;0;3;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0
AC;12;00385;Plácido de Castro;1867;521;0;91;1;184;25;0;0;1;843;180;3;0;8;4;3;0;0;0;0;3
AC;12;00807;Porto Acre;1251;248;0;90;0;114;29;0;0;3;668;68;22;0;3;4;0;0;0;0;0;2
AC;12;00393;Porto Walter;20;0;0;0;0;3;0;0;0;0;14;3;0;0;0;0;0;0;0;0;0;0
AC;12;00401;Rio Branco;93650;36898;0;3163;320;9379;1944;10;10;114;33735;5866;397;0;941;484;54;2;0;1;6;326
AC;12;00427;Rodrigues Alves;160;26;0;4;0;14;1;0;0;0;97;17;0;0;0;0;0;0;0;0;0;1
AC;12;00435;Santa Rosa do Purus;63;7;0;1;0;7;0;0;0;0;41;6;0;0;1;0;0;0;0;0;0;0
AC;12;00500;Sena Madureira;2756;550;0;77;1;356;24;0;0;2;1282;453;2;0;3;0;0;0;0;0;0;6
AC;12;00450;Senador Guiomard;2638;772;0;214;7;308;32;0;0;3;1069;170;14;0;32;13;1;0;0;0;1;2
AC;12;00609;Tarauacá;1858;189;0;89;1;151;16;0;0;0;940;465;2;0;0;1;0;0;0;0;1;3
AC;12;00708;Xapuri;1358;358;0;42;2;124;11;1;0;0;697;109;1;0;7;2;1;0;0;0;0;3
AL;27;00102;Água Branca;1445;222;0;40;2;317;30;0;0;68;709;47;4;0;2;3;0;0;0;0;0;1
AL;27;00201;Anadia;1037;338;0;23;0;48;73;0;0;45;399;79;23;0;7;2;0;0;0;0;0;0
AL;27;00300;Arapiraca;50157;15531;0;2280;255;3423;911;1;1;368;18789;7424;230;0;456;361;10;1;0;0;10;106
AL;27;00409;Atalaia;2784;1709;0;172;7;119;101;1;0;43;377;21;76;0;101;51;0;1;0;0;2;3
AL;27;00508;Barra de Santo Antônio;698;405;0;19;0;44;19;0;0;8;162;10;9;0;20;2;0;0;0;0;0;0
AL;27;00607;Barra de São Miguel;590;309;0;16;0;40;12;0;0;2;159;15;3;0;22;3;0;0;0;0;0;9
AL;27;00706;Batalha;1238;401;0;60;5;109;11;0;0;11;504;117;1;0;13;4;0;0;0;0;0;2
AL;27;00805;Belém;417;138;0;6;0;27;14;0;0;18;189;17;1;0;6;1;0;0;0;0;0;0
AL;27;00904;Belo Monte;196;34;0;21;0;19;1;0;0;3;110;7;0;0;0;0;0;0;0;0;0;1
AL;27;01001;Boca da Mata;2800;933;0;216;23;124;39;0;0;60;999;161;79;0;78;83;0;0;0;0;1;4
AL;27;01100;Branquinha;334;108;0;9;0;23;10;0;0;22;149;4;4;0;3;1;0;0;0;0;0;1
AL;27;01209;Cacimbinhas;824;218;0;34;0;66;16;0;0;18;407;45;5;0;14;0;0;0;0;0;0;1
AL;27;01308;Cajueiro;1102;407;0;86;0;54;27;0;0;13;396;32;34;0;45;6;0;0;0;0;0;2
AL;27;01357;Campestre;199;76;0;7;0;10;27;0;0;42;17;1;8;0;10;1;0;0;0;0;0;0
AL;27;01407;Campo Alegre;1590;610;0;128;11;76;40;4;0;109;342;50;99;0;71;49;0;0;0;0;0;1
AL;27;01506;Campo Grande;718;167;0;35;0;34;3;0;0;11;430;34;3;0;1;0;0;0;0;0;0;0
AL;27;01605;Canapi;1018;162;0;21;0;96;13;0;0;20;656;35;10;0;2;0;0;1;0;0;1;1
AL;27;01704;Capela;757;349;0;56;1;38;17;1;0;5;218;14;23;0;26;9;0;0;0;0;0;0
AL;27;01803;Carneiros;334;74;0;18;0;54;2;0;0;1;169;13;0;0;1;1;0;0;0;0;0;1
AL;27;01902;Chã Preta;477;138;0;18;0;38;8;0;0;6;258;2;4;0;5;0;0;0;0;0;0;0
AL;27;02009;Coité do Nóia;764;140;0;33;0;44;9;0;0;4;465;58;9;0;2;0;0;0;0;0;0;0
AL;27;02108;Colônia Leopoldina;519;265;0;35;0;27;38;0;0;16;109;7;18;0;2;0;0;0;0;0;0;2
AL;27;02207;Coqueiro Seco;342;186;0;5;0;9;7;0;0;4;122;0;2;0;6;1;0;0;0;0;0;0
AL;27;02306;Coruripe;5262;1747;0;279;22;370;76;3;0;47;1780;360;142;0;303;118;0;0;0;0;0;15
AL;27;02355;Craíbas;1441;363;0;61;2;154;26;0;0;16;654;146;14;0;4;1;0;0;0;0;0;0
AL;27;02405;Delmiro Gouveia;8794;3011;0;371;17;919;147;1;0;250;3477;460;22;0;34;71;0;0;0;0;2;12
AL;27;02504;Dois Riachos;1004;231;0;42;0;68;33;0;0;10;566;45;2;0;4;1;1;0;0;0;0;1
AL;27;02553;Estrela de Alagoas;1232;328;0;26;0;124;15;0;0;33;629;57;11;0;7;1;0;0;0;0;0;1
