UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
AC;12;00013;Acrelândia;1766;357;0;97;7;127;23;0;0;1;1001;118;16;0;12;5;1;0;0;0;0;1
AC;12;00054;Assis Brasil;381;77;0;11;0;46;6;0;0;0;196;41;2;0;2;0;0;0;0;0;0;0
AC;12;00104;Brasiléia;2766;693;0;127;18;276;40;0;0;0;1065;487;7;0;10;39;0;0;0;0;0;4
AC;12;00138;Bujari;511;162;0;59;1;62;11;0;0;3;195;10;2;0;4;1;0;0;0;0;0;1
AC;12;00179;Capixaba;509;148;0;42;0;55;4;0;0;1;203;39;5;0;10;2;0;0;0;0;0;0
AC;12;00203;Cruzeiro do Sul;10413;2331;0;356;5;972;169;1;0;24;4826;1666;27;0;3;3;0;0;0;0;0;30
AC;12;00252;Epitaciolândia;1819;506;0;95;4;193;35;0;0;1;666;290;8;0;7;11;0;0;0;0;1;2
AC;12;00302;Feijó;920;126;0;49;0;122;11;0;0;1;469;140;1;0;1;0;0;0;0;0;0;0
AC;12;00328;Jordão;5;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
AC;12;00336;Mâncio Lima;889;112;0;28;4;84;7;0;0;1;552;90;5;0;0;6;0;0;0;0;0;0
AC;12;00344;Manoel Urbano;165;19;0;9;0;27;1;0;0;0;90;18;0;0;1;0;0;0;0;0;0;0
AC;12;00351;Marechal Thaumaturgo;10;0;0;3;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0
AC;12;00385;Plácido de Castro;1537;431;0;81;1;172;21;0;0;1;660;153;3;0;5;3;3;0;0;0;0;3
AC;12;00807;Porto Acre;991;205;0;70;0;92;26;0;0;3;515;51;21;0;2;4;0;0;0;0;0;2
AC;12;00393;Porto Walter;6;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
AC;12;00401;Rio Branco;81274;32831;0;2941;271;8477;1847;11;10;103;27474;5336;375;0;862;419;53;1;0;1;5;257
AC;12;00427;Rodrigues Alves;92;20;0;4;0;12;1;0;0;0;45;9;0;0;0;0;0;0;0;0;0;1
AC;12;00435;Santa Rosa do Purus;44;5;0;1;0;6;0;0;0;0;28;4;0;0;0;0;0;0;0;0;0;0
AC;12;00500;Sena Madureira;2174;445;0;65;1;311;26;0;0;2;940;376;2;0;2;0;0;0;0;0;0;4
AC;12;00450;Senador Guiomard;2179;665;0;191;7;278;28;0;0;2;806;145;12;0;28;12;1;0;0;0;0;4
AC;12;00609;Tarauacá;1544;148;0;73;0;123;19;0;0;0;783;393;2;0;0;0;0;0;0;0;1;2
AC;12;00708;Xapuri;1162;314;0;36;0;110;12;1;0;0;581;96;1;0;6;2;1;0;0;0;0;2
AL;27;00102;Água Branca;1151;176;0;32;2;274;26;0;0;26;572;36;2;0;2;3;0;0;0;0;0;0
AL;27;00201;Anadia;855;278;0;19;0;44;69;0;0;35;318;63;21;0;7;1;0;0;0;0;0;0
AL;27;00300;Arapiraca;45222;14197;0;2200;237;3276;900;2;1;338;16443;6595;213;0;394;326;10;2;0;0;7;81
AL;27;00409;Atalaia;2576;1615;0;170;6;108;108;1;0;44;299;20;74;0;87;40;0;1;0;0;0;3
AL;27;00508;Barra de Santo Antônio;612;391;0;21;0;40;20;0;0;9;100;7;8;0;15;1;0;0;0;0;0;0
AL;27;00607;Barra de São Miguel;513;287;0;16;0;37;8;0;0;2;121;11;4;0;21;2;0;0;0;0;0;4
AL;27;00706;Batalha;1009;343;0;59;5;95;11;0;0;11;376;94;1;0;9;3;0;0;0;0;0;2
AL;27;00805;Belém;354;115;0;6;0;26;13;0;0;17;156;15;1;0;5;0;0;0;0;0;0;0
AL;27;00904;Belo Monte;156;29;0;19;0;16;1;0;0;2;83;5;0;0;0;0;0;0;0;0;0;1
AL;27;01001;Boca da Mata;2453;830;0;195;23;118;38;0;0;60;822;144;80;0;57;82;0;0;0;0;1;3
AL;27;01100;Branquinha;260;92;0;8;0;19;10;0;0;20;99;3;5;0;2;1;0;0;0;0;0;1
AL;27;01209;Cacimbinhas;719;207;0;31;0;51;14;0;0;16;347;36;4;0;12;0;0;0;0;0;0;1
AL;27;01308;Cajueiro;947;360;0;88;0;42;26;0;0;12;305;28;36;0;43;5;0;0;0;0;0;2
AL;27;01357;Campestre;179;71;0;4;0;11;27;0;0;39;11;0;6;0;9;1;0;0;0;0;0;0
AL;27;01407;Campo Alegre;1371;509;0;114;11;63;41;4;0;103;266;36;101;0;73;49;0;0;0;0;0;1
AL;27;01506;Campo Grande;604;128;0;34;0;30;2;0;0;10;371;25;3;0;1;0;0;0;0;0;0;0
AL;27;01605;Canapi;880;137;0;21;0;79;7;0;0;16;574;32;9;0;2;0;0;1;0;0;1;1
AL;27;01704;Capela;674;318;0;51;1;40;18;1;0;6;177;15;16;0;23;8;0;0;0;0;0;0
AL;27;01803;Carneiros;314;72;0;22;0;53;2;0;0;1;155;7;0;0;1;0;0;0;0;0;0;1
AL;27;01902;Chã Preta;393;107;0;19;0;34;8;0;0;5;212;2;1;0;5;0;0;0;0;0;0;0
AL;27;02009;Coité do Nóia;607;97;0;20;0;33;7;0;0;4;379;53;12;0;2;0;0;0;0;0;0;0
AL;27;02108;Colônia Leopoldina;450;219;0;36;0;33;35;0;0;15;92;7;11;0;2;0;0;0;0;0;0;0
AL;27;02207;Coqueiro Seco;294;167;0;5;0;8;10;0;0;2;93;0;2;0;6;1;0;0;0;0;0;0
AL;27;02306;Coruripe;4575;1545;0;269;21;352;67;3;0;38;1466;276;128;0;288;113;0;0;0;0;0;9
AL;27;02355;Craíbas;1155;286;0;58;1;136;25;0;0;18;483;128;12;0;5;2;0;0;0;0;0;1
AL;27;02405;Delmiro Gouveia;7965;2782;0;350;18;881;141;1;0;232;3046;414;22;0;29;42;0;0;0;0;1;6
AL;27;02504;Dois Riachos;860;203;0;39;0;60;30;0;0;7;471;44;2;0;3;0;1;0;0;0;0;0
AL;27;02553;Estrela de Alagoas;1063;289;0;20;0;109;18;0;0;33;533;46;9;0;5;0;0;0;0;0;0;1
AL;27;02603;Feira Grande;919;155;0;21;0;64;12;0;0;0;551;99;15;0;1;0;1;0;0;0;0;0
AL;27;02702;Feliz Deserto;206;87;0;3;0;19;3;0;0;6;66;15;3;0;3;0;0;0;0;0;0;1
AL;27;02801;Flexeiras;379;206;0;20;0;30;10;0;0;12;70;0;24;0;4;3;0;0;0;0;0;0
AL;27;02900;Girau do Ponciano;1775;395;0;65;0;178;35;0;0;20;916;128;28;0;7;1;0;0;0;0;0;2
AL;27;03007;Ibateguara;554;204;0;27;0;43;26;0;0;59;176;9;6;0;3;1;0;0;0;0;0;0
AL;27;03106;Igaci;1451;341;0;47;0;175;32;0;0;38;695;99;19;0;4;0;0;0;0;0;0;1
AL;27;03205;Igreja Nova;1565;273;0;55;0;58;8;1;0;16;980;94;51;0;10;19;0;0;0;0;0;0
AL;27;03304;Inhapi;1316;197;0;27;6;140;16;0;0;4;845;71;0;0;2;7;0;0;0;0;0;1
AL;27;03403;Jacaré dos Homens;298;103;0;24;0;26;2;0;0;2;120;11;4;0;0;1;0;0;0;0;0;5
AL;27;03502;Jacuípe;100;36;0;4;0;11;13;0;0;7;23;0;6;0;0;0;0;0;0;0;0;0
AL;27;03601;Japaratinga;373;178;0;10;0;25;24;0;0;12;109;4;3;0;6;0;0;0;0;0;0;2
