UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
AC;12;00013;Acrelândia;428;77;0;33;3;7;52;0;0;0;223;21;7;0;2;3;0;0;0;0;0;0
AC;12;00054;Assis Brasil;95;26;0;8;0;1;13;0;0;0;34;13;0;0;0;0;0;0;0;0;0;0
AC;12;00104;Brasiléia;1154;265;0;68;6;32;97;0;0;0;435;235;3;0;7;6;0;0;0;0;0;0
AC;12;00138;Bujari;139;41;0;24;1;4;17;0;0;2;42;3;2;0;1;2;0;0;0;0;0;0
AC;12;00179;Capixaba;109;38;0;7;0;8;13;0;0;1;33;6;2;0;1;0;0;0;0;0;0;0
AC;12;00203;Cruzeiro do Sul;5022;1291;0;209;0;172;499;1;0;16;2176;638;17;0;2;0;0;0;0;0;0;1
AC;12;00252;Epitaciolândia;672;176;0;51;1;17;58;0;0;0;243;116;5;0;3;2;0;0;0;0;0;0
AC;12;00302;Feijó;412;40;0;23;0;23;24;0;0;0;224;78;0;0;0;0;0;0;0;0;0;0
AC;12;00328;Jordão;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
AC;12;00336;Mâncio Lima;353;40;0;14;1;9;22;0;0;1;224;39;3;0;0;0;0;0;0;0;0;0
AC;12;00344;Manoel Urbano;43;7;0;3;0;2;0;0;0;0;29;2;0;0;0;0;0;0;0;0;0;0
