UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
AC;12;00013;Acrelândia;5004;1085;0;230;16;496;40;0;1;8;2709;312;43;0;37;21;0;0;0;0;0;6
AC;12;00054;Assis Brasil;1404;240;0;28;0;106;15;0;2;2;897;104;2;0;7;0;0;0;0;0;0;1
AC;12;00104;Brasiléia;7736;1835;0;234;74;858;71;0;5;4;3564;888;17;0;48;116;0;0;0;0;3;19
AC;12;00138;Bujari;1741;517;0;107;9;224;19;0;9;4;774;35;12;0;18;10;0;0;0;0;2;1
AC;12;00179;Capixaba;1754;494;0;77;2;200;16;0;2;1;812;112;13;0;19;5;0;0;0;0;0;1
AC;12;00203;Cruzeiro do Sul;27807;5524;0;710;59;2267;265;1;30;59;13323;5267;66;0;26;106;0;1;0;0;12;91
AC;12;00252;Epitaciolândia;5131;1314;0;214;104;598;64;0;2;2;2004;617;14;0;60;125;0;0;0;0;2;11
AC;12;00302;Feijó;3086;491;0;109;4;299;31;0;20;2;1623;472;6;0;9;8;0;0;0;0;3;9
AC;12;00328;Jordão;86;9;0;3;0;10;0;0;0;0;42;22;0;0;0;0;0;0;0;0;0;0
AC;12;00336;Mâncio Lima;3100;490;0;79;5;248;17;0;1;3;1791;441;11;0;1;9;0;0;0;0;0;4
AC;12;00344;Manoel Urbano;868;178;0;48;0;106;5;0;2;0;415;85;5;0;23;0;0;0;0;0;0;1
AC;12;00351;Marechal Thaumaturgo;286;8;0;10;0;25;0;0;0;0;207;28;8;0;0;0;0;0;0;0;0;0
AC;12;00385;Plácido de Castro;4030;1132;0;145;12;378;40;0;5;3;1925;316;16;0;33;13;3;0;0;0;6;3
AC;12;00807;Porto Acre;3208;697;0;171;5;339;35;0;4;1;1771;118;35;0;24;6;0;2;0;0;0;0
