UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
AC;12;00013;Acrelândia;2567;501;0;139;8;172;24;0;0;1;1495;172;25;0;16;9;1;0;0;0;0;4
AC;12;00054;Assis Brasil;544;111;0;14;0;56;6;0;0;0;302;50;2;0;3;0;0;0;0;0;0;0
AC;12;00104;Brasiléia;3905;997;0;135;25;357;44;0;0;3;1675;591;8;0;13;51;0;0;0;0;1;5
AC;12;00138;Bujari;795;245;0;72;1;95;10;0;0;3;344;17;3;0;5;0;0;0;0;0;0;0
AC;12;00179;Capixaba;810;250;0;53;0;85;6;0;0;1;342;58;7;0;8;0;0;0;0;0;0;0
AC;12;00203;Cruzeiro do Sul;14783;3004;0;436;16;1232;170;1;0;31;7417;2364;37;0;5;15;0;0;0;0;4;51
AC;12;00252;Epitaciolândia;2562;690;0;120;12;283;36;0;0;0;1007;372;10;0;12;12;0;0;0;0;2;6
AC;12;00302;Feijó;1391;174;0;74;0;168;16;0;0;1;741;210;1;0;1;0;0;0;0;0;0;5
AC;12;00328;Jordão;16;3;0;0;0;1;0;0;0;0;9;3;0;0;0;0;0;0;0;0;0;0
AC;12;00336;Mâncio Lima;1415;166;0;51;6;122;10;0;0;1;891;146;6;0;0;16;0;0;0;0;0;0
AC;12;00344;Manoel Urbano;311;76;0;15;0;39;3;0;0;0;148;28;1;0;1;0;0;0;0;0;0;0
AC;12;00351;Marechal Thaumaturgo;68;2;0;3;0;3;0;0;0;0;54;6;0;0;0;0;0;0;0;0;0;0
AC;12;00385;Plácido de Castro;2247;596;0;106;1;214;27;0;0;1;1073;207;5;0;9;3;3;0;0;0;0;2
