UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
AC;12;00013;Acrelândia;7204;1586;0;480;40;817;59;0;2;10;3562;422;43;0;93;67;0;2;0;0;2;19
AC;12;00054;Assis Brasil;2075;373;0;27;0;182;21;0;3;3;1302;138;4;0;19;0;0;0;0;0;0;3
AC;12;00104;Brasiléia;11294;2683;0;331;216;1484;114;0;7;8;4932;1031;21;0;147;282;0;0;0;0;2;36
AC;12;00138;Bujari;2442;713;0;128;39;294;15;0;7;6;1078;69;14;0;29;46;0;0;0;0;1;3
AC;12;00179;Capixaba;2497;696;0;93;5;271;24;0;6;3;1200;141;17;0;31;8;0;0;0;0;0;2
AC;12;00203;Cruzeiro do Sul;36602;7695;0;737;99;3179;349;1;36;59;16741;7213;86;0;60;200;0;1;0;0;8;138
AC;12;00252;Epitaciolândia;7401;2052;0;302;112;1013;97;0;5;10;2709;788;16;0;114;165;0;0;0;0;3;15
AC;12;00302;Feijó;4383;667;0;125;5;375;39;0;38;4;2358;711;11;0;23;8;0;0;0;0;7;12
AC;12;00328;Jordão;148;14;0;6;0;14;2;0;0;0;78;34;0;0;0;0;0;0;0;0;0;0
AC;12;00336;Mâncio Lima;4047;717;0;101;3;342;31;0;1;4;2240;581;17;0;2;4;0;0;0;0;0;4
AC;12;00344;Manoel Urbano;1340;248;0;58;5;167;9;0;2;0;678;129;5;0;27;8;0;0;0;0;0;4
AC;12;00351;Marechal Thaumaturgo;397;8;0;13;0;38;2;0;0;0;283;44;9;0;0;0;0;0;0;0;0;0
