UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
AC;12;00013;Acrelândia;4717;1024;0;230;18;437;38;0;0;7;2561;298;44;0;31;23;0;0;0;0;0;6
AC;12;00054;Assis Brasil;1305;234;0;22;0;91;12;0;2;2;829;104;3;0;5;0;0;0;0;0;0;1
AC;12;00104;Brasiléia;7116;1734;0;218;56;774;66;0;4;3;3260;851;13;0;39;83;0;0;0;0;3;12
AC;12;00138;Bujari;1581;466;0;102;5;208;19;0;5;3;708;33;11;0;14;5;0;0;0;0;2;0
AC;12;00179;Capixaba;1582;438;0;76;2;183;16;0;1;1;724;106;12;0;17;5;0;0;0;0;0;1
AC;12;00203;Cruzeiro do Sul;26398;5292;0;698;53;2146;252;1;1;58;12650;4969;68;0;24;96;0;1;0;0;10;79
AC;12;00252;Epitaciolândia;4694;1211;0;207;93;532;53;0;0;2;1828;572;14;0;51;118;0;0;0;0;2;11
AC;12;00302;Feijó;2865;484;0;111;2;295;34;0;0;2;1482;427;6;0;8;2;0;0;0;0;3;9
AC;12;00328;Jordão;77;10;0;3;0;10;0;0;0;0;36;18;0;0;0;0;0;0;0;0;0;0
AC;12;00336;Mâncio Lima;2887;449;0;79;6;233;17;0;1;3;1672;406;9;0;1;8;0;0;0;0;0;3
AC;12;00344;Manoel Urbano;739;161;0;25;0;100;5;0;2;1;356;80;5;0;3;0;0;0;0;0;0;1
AC;12;00351;Marechal Thaumaturgo;251;8;0;10;0;17;0;0;0;0;191;20;5;0;0;0;0;0;0;0;0;0
AC;12;00385;Plácido de Castro;3762;1049;0;142;9;355;32;0;4;3;1797;309;17;0;23;11;3;0;0;0;6;2
AC;12;00807;Porto Acre;2994;650;0;154;3;312;33;0;2;1;1655;129;30;0;19;5;0;1;0;0;0;0
AC;12;00393;Porto Walter;180;2;0;8;0;16;0;0;0;0;125;26;3;0;0;0;0;0;0;0;0;0
AC;12;00401;Rio Branco;158053;60209;0;4102;461;15304;3229;8;222;218;60047;9655;730;0;2044;762;55;17;0;2;112;876
AC;12;00427;Rodrigues Alves;1142;120;0;15;1;61;1;0;0;0;760;174;7;0;0;1;0;0;0;0;0;2
