UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
AC;12;00013;Acrelândia;1158;220;0;69;4;79;49;0;0;1;638;75;11;0;7;4;1;0;0;0;0;0
AC;12;00054;Assis Brasil;249;60;0;11;0;10;18;0;0;0;111;37;1;0;1;0;0;0;0;0;0;0
AC;12;00104;Brasiléia;1899;479;0;100;13;116;94;0;0;0;695;365;3;0;9;25;0;0;0;0;0;0
AC;12;00138;Bujari;320;103;0;37;0;31;18;0;0;3;114;8;2;0;3;1;0;0;0;0;0;0
AC;12;00179;Capixaba;271;84;0;23;0;24;17;0;0;1;95;19;3;0;3;2;0;0;0;0;0;0
AC;12;00203;Cruzeiro do Sul;7751;1844;0;273;1;480;433;1;0;23;3550;1111;22;0;3;0;0;0;0;0;0;10
AC;12;00252;Epitaciolândia;1315;361;0;85;2;85;82;0;0;1;464;216;7;0;5;7;0;0;0;0;0;0
AC;12;00302;Feijó;655;87;0;31;0;57;27;0;0;1;342;109;0;0;0;0;0;0;0;0;0;1
AC;12;00328;Jordão;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
AC;12;00336;Mâncio Lima;588;69;0;23;2;29;25;0;0;1;375;59;4;0;0;0;0;0;0;0;0;1
AC;12;00344;Manoel Urbano;88;6;0;5;0;9;3;0;0;0;55;10;0;0;0;0;0;0;0;0;0;0
AC;12;00351;Marechal Thaumaturgo;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
AC;12;00385;Plácido de Castro;922;282;0;56;0;69;51;0;0;1;365;92;1;0;3;1;1;0;0;0;0;0
AC;12;00807;Porto Acre;571;125;0;55;2;39;47;0;0;3;248;28;15;0;2;6;0;0;0;0;0;1
