UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
AC;12;00013;Acrelândia;3835;809;0;201;9;292;36;0;0;6;2151;252;41;0;22;13;0;0;0;0;0;3
AC;12;00054;Assis Brasil;963;197;0;15;0;75;10;0;0;2;582;76;3;0;3;0;0;0;0;0;0;0
AC;12;00104;Brasiléia;5670;1443;0;186;45;532;68;0;1;3;2529;750;11;0;22;70;0;0;0;0;3;7
AC;12;00138;Bujari;1260;374;0;86;2;160;14;1;2;3;570;27;10;0;8;0;0;0;0;0;2;1
AC;12;00179;Capixaba;1246;349;0;67;0;138;9;0;0;1;567;90;9;0;12;3;0;0;0;0;0;1
AC;12;00203;Cruzeiro do Sul;21991;4441;0;616;44;1765;234;1;0;53;10685;3931;60;0;17;61;0;0;0;1;4;78
AC;12;00252;Epitaciolândia;3649;978;0;183;36;393;39;0;0;1;1443;493;13;0;18;42;0;0;0;0;1;9
AC;12;00302;Feijó;2227;370;0;93;0;261;31;0;0;1;1114;340;6;0;6;0;0;0;0;0;1;4
AC;12;00328;Jordão;62;8;0;2;0;8;0;0;0;0;30;14;0;0;0;0;0;0;0;0;0;0
AC;12;00336;Mâncio Lima;2347;329;0;71;6;204;14;0;1;2;1388;309;9;0;1;11;0;0;0;0;0;2
AC;12;00344;Manoel Urbano;567;139;0;23;0;71;6;0;1;0;266;57;2;0;1;0;0;0;0;0;0;1
AC;12;00351;Marechal Thaumaturgo;179;9;0;7;0;13;0;0;0;0;133;13;4;0;0;0;0;0;0;0;0;0
AC;12;00385;Plácido de Castro;3206;895;0;134;4;295;27;0;4;2;1516;281;15;0;17;5;3;0;0;0;6;2
AC;12;00807;Porto Acre;2396;476;0;140;2;224;36;0;2;2;1350;111;36;0;12;4;0;1;0;0;0;0
AC;12;00393;Porto Walter;113;0;0;4;0;9;0;0;0;0;87;11;2;0;0;0;0;0;0;0;0;0
AC;12;00401;Rio Branco;139683;53215;0;3856;405;13331;2865;9;200;188;53553;8360;654;0;1531;657;55;7;0;1;90;706
AC;12;00427;Rodrigues Alves;808;84;0;10;1;49;1;0;0;0;566;94;1;0;0;1;0;0;0;0;0;1
AC;12;00435;Santa Rosa do Purus;102;11;0;3;0;8;0;0;0;0;65;12;1;0;1;0;0;0;0;0;0;1
AC;12;00500;Sena Madureira;5168;987;0;87;4;565;44;0;7;3;2543;882;7;0;21;3;0;0;0;0;2;13
AC;12;00450;Senador Guiomard;4713;1402;0;314;10;505;45;0;1;8;2025;293;21;0;57;19;1;0;0;0;1;11
AC;12;00609;Tarauacá;3071;377;0;138;3;253;44;0;5;12;1466;736;14;0;6;3;0;0;0;0;8;6
AC;12;00708;Xapuri;2521;568;0;61;3;222;12;1;1;3;1419;204;2;0;16;4;1;0;0;0;0;4
AL;27;00102;Água Branca;2707;497;0;60;2;423;26;0;0;63;1512;101;10;0;7;4;0;0;0;0;0;2
AL;27;00201;Anadia;1917;674;0;46;0;86;85;0;0;47;760;147;40;0;23;7;0;0;0;0;0;2
AL;27;00300;Arapiraca;76264;23749;0;2803;391;5092;1219;1;4;402;29273;11083;316;0;964;666;10;2;0;0;24;265
AL;27;00409;Atalaia;4590;2617;0;196;11;209;131;1;0;51;873;74;125;0;229;66;0;0;0;0;2;5
AL;27;00508;Barra de Santo Antônio;1286;622;0;28;1;68;25;0;0;5;451;24;19;0;37;5;0;0;0;0;0;1
AL;27;00607;Barra de São Miguel;1088;515;0;25;2;75;35;0;0;1;355;24;5;0;33;7;0;0;0;0;0;11
AL;27;00706;Batalha;2448;729;0;91;5;177;14;0;0;22;1187;183;3;0;28;8;0;0;0;0;0;1
AL;27;00805;Belém;760;247;0;12;0;42;17;0;0;25;376;18;5;0;15;3;0;0;0;0;0;0
AL;27;00904;Belo Monte;472;97;0;35;0;43;4;0;0;8;272;9;2;0;0;1;0;0;0;0;0;1
AL;27;01001;Boca da Mata;4148;1450;0;224;24;172;54;0;0;69;1572;290;87;0;110;83;0;0;0;0;1;12
AL;27;01100;Branquinha;869;240;0;25;0;54;14;0;0;21;475;17;15;0;6;1;0;0;0;0;0;1
AL;27;01209;Cacimbinhas;1363;392;0;41;0;87;17;0;0;31;700;59;9;0;22;4;0;0;0;0;0;1
AL;27;01308;Cajueiro;2112;777;0;92;1;89;32;0;0;8;874;103;49;0;71;11;0;0;0;0;1;4
AL;27;01357;Campestre;370;150;0;19;0;23;26;0;0;49;70;10;8;0;13;1;0;0;0;0;1;0
AL;27;01407;Campo Alegre;2918;1147;0;132;25;141;44;2;0;116;836;196;119;0;93;62;0;0;0;0;1;4
AL;27;01506;Campo Grande;1604;341;0;43;0;84;5;0;0;23;1018;72;13;0;3;2;0;0;0;0;0;0
AL;27;01605;Canapi;1713;348;0;36;1;170;10;0;0;31;1015;75;17;0;7;1;0;0;0;0;1;1
AL;27;01704;Capela;1323;579;0;63;5;64;28;0;0;7;442;35;47;0;36;17;0;0;0;0;0;0
AL;27;01803;Carneiros;762;178;0;25;0;66;5;0;0;10;442;20;5;0;7;2;0;0;0;0;0;2
AL;27;01902;Chã Preta;888;220;0;27;0;54;10;0;0;8;545;8;6;0;9;1;0;0;0;0;0;0
AL;27;02009;Coité do Nóia;1587;328;0;48;0;107;13;0;0;6;953;99;24;0;6;1;0;0;0;0;1;1
AL;27;02108;Colônia Leopoldina;1021;449;0;60;1;50;59;0;0;26;317;18;31;0;7;2;0;0;0;0;0;1
AL;27;02207;Coqueiro Seco;674;314;0;8;0;21;10;0;0;2;293;6;4;0;11;4;0;0;0;0;0;1
AL;27;02306;Coruripe;9137;2878;0;340;36;646;118;2;0;70;3435;850;197;0;385;150;0;0;0;0;1;29
AL;27;02355;Craíbas;3134;869;0;123;0;273;42;0;0;31;1411;338;25;0;16;2;0;0;0;0;0;4
AL;27;02405;Delmiro Gouveia;13456;4816;0;419;25;1167;164;1;0;334;5501;781;46;0;93;77;0;0;0;0;7;25
AL;27;02504;Dois Riachos;1764;391;0;58;1;100;46;0;0;12;1053;71;9;0;15;6;1;0;0;0;0;1
AL;27;02553;Estrela de Alagoas;2258;581;0;40;0;180;31;0;0;82;1215;83;19;0;18;3;0;0;0;0;0;6
AL;27;02603;Feira Grande;2931;531;0;59;1;212;21;0;0;2;1665;382;47;0;5;2;1;0;0;0;1;2
AL;27;02702;Feliz Deserto;439;140;0;5;0;25;3;0;0;5;212;27;8;0;9;4;0;0;0;0;0;1
AL;27;02801;Flexeiras;927;447;0;23;0;46;16;0;0;18;304;11;35;0;15;8;0;0;0;0;1;3
AL;27;02900;Girau do Ponciano;5299;1299;0;161;4;312;56;0;0;53;2863;459;50;0;24;10;0;0;0;0;1;7
AL;27;03007;Ibateguara;1286;434;0;39;0;115;22;0;0;55;535;58;15;0;11;2;0;0;0;0;0;0
AL;27;03106;Igaci;3354;903;0;94;0;280;43;0;0;86;1662;238;26;0;16;5;0;0;0;0;0;1
AL;27;03205;Igreja Nova;3266;643;0;83;1;92;9;0;0;23;2071;199;78;0;35;31;0;0;0;0;0;1
AL;27;03304;Inhapi;2649;492;0;51;8;227;15;0;0;21;1650;152;9;0;9;11;0;0;0;0;0;4
AL;27;03403;Jacaré dos Homens;609;182;0;35;0;42;5;0;0;6;309;19;6;0;2;2;0;0;0;0;0;1
AL;27;03502;Jacuípe;349;108;0;9;0;20;23;0;0;8;162;2;14;0;2;0;0;0;0;0;1;0
AL;27;03601;Japaratinga;793;379;0;12;0;44;35;0;0;23;261;9;7;0;15;4;0;0;0;0;0;4
AL;27;03700;Jaramataia;550;189;0;23;5;45;6;0;0;9;228;23;4;0;4;13;0;0;0;0;0;1
AL;27;03759;Jequiá da Praia;908;314;0;29;4;72;7;0;0;11;375;19;38;0;31;5;0;0;0;0;0;3
AL;27;03809;Joaquim Gomes;1620;632;0;93;2;110;29;0;0;23;594;24;70;0;29;11;0;0;0;0;1;2
AL;27;03908;Jundiá;357;140;0;12;0;26;21;0;0;4;140;4;8;0;2;0;0;0;0;0;0;0
AL;27;04005;Junqueiro;3701;988;0;208;36;256;33;1;0;28;1453;416;103;0;138;37;3;0;0;0;0;1
AL;27;04104;Lagoa da Canoa;3000;706;0;84;3;173;20;0;0;15;1626;317;23;0;19;12;0;0;0;0;0;2
AL;27;04203;Limoeiro de Anadia;3036;692;0;107;4;283;31;1;0;18;1424;395;45;0;25;10;0;0;0;0;0;1
AL;27;04302;Maceió;266465;161275;0;6899;1008;18149;9988;18;39;1052;51637;3258;1845;1;5689;2610;18;20;0;12;93;2854
