UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
AC;12;00013;Acrelândia;292;60;0;28;1;9;36;0;0;0;137;12;5;0;2;2;0;0;0;0;0;0
AC;12;00054;Assis Brasil;71;22;0;6;0;0;9;0;0;0;25;9;0;0;0;0;0;0;0;0;0;0
AC;12;00104;Brasiléia;944;211;0;57;1;17;90;0;0;0;358;198;3;0;2;7;0;0;0;0;0;0
AC;12;00138;Bujari;74;18;0;14;1;2;8;0;0;2;22;5;0;0;0;2;0;0;0;0;0;0
AC;12;00179;Capixaba;73;23;0;5;0;4;11;0;0;0;21;6;2;0;1;0;0;0;0;0;0;0
AC;12;00203;Cruzeiro do Sul;4260;1127;0;185;0;131;456;1;0;12;1839;494;14;0;1;0;0;0;0;0;0;0
AC;12;00252;Epitaciolândia;461;111;0;30;0;9;43;0;0;0;182;81;4;0;0;1;0;0;0;0;0;0
AC;12;00302;Feijó;336;29;0;16;0;14;22;0;0;0;186;69;0;0;0;0;0;0;0;0;0;0
AC;12;00328;Jordão;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
AC;12;00336;Mâncio Lima;267;33;0;7;0;7;22;0;0;0;176;19;3;0;0;0;0;0;0;0;0;0
AC;12;00344;Manoel Urbano;28;6;0;3;0;2;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0
AC;12;00351;Marechal Thaumaturgo;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
AC;12;00385;Plácido de Castro;341;122;0;29;1;6;46;0;0;2;109;25;1;0;0;0;0;0;0;0;0;0
