UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
AC;12;00013;Acrelândia;6812;1468;0;498;44;731;56;0;2;10;3373;404;43;0;92;75;0;2;0;0;1;13
AC;12;00054;Assis Brasil;1931;352;0;25;0;151;21;0;2;2;1220;133;4;0;19;0;0;0;0;0;0;2
AC;12;00104;Brasiléia;10338;2434;0;296;177;1282;86;0;4;8;4621;994;20;0;132;249;0;0;0;0;2;33
AC;12;00138;Bujari;2288;667;0;129;36;285;15;0;7;6;997;57;14;0;27;46;0;0;0;0;1;1
AC;12;00179;Capixaba;2315;648;0;87;3;249;29;0;5;3;1110;129;17;0;29;4;0;0;0;0;0;2
AC;12;00203;Cruzeiro do Sul;34862;7273;0;739;93;2957;333;1;32;58;16019;6896;84;0;48;189;0;1;0;0;10;129
AC;12;00252;Epitaciolândia;6813;1889;0;254;109;882;86;0;4;8;2530;758;16;0;104;153;0;0;0;0;3;17
AC;12;00302;Feijó;4072;615;0;119;5;357;37;0;33;3;2185;659;12;0;19;9;0;0;0;0;5;14
AC;12;00328;Jordão;134;11;0;6;0;13;1;0;0;0;71;32;0;0;0;0;0;0;0;0;0;0
AC;12;00336;Mâncio Lima;3889;679;0;101;3;323;30;0;1;5;2169;550;18;0;1;4;0;0;0;0;0;5
AC;12;00344;Manoel Urbano;1215;230;0;55;4;155;8;0;2;0;607;114;5;0;25;8;0;0;0;0;0;2
AC;12;00351;Marechal Thaumaturgo;375;10;0;13;0;36;1;0;0;0;266;40;9;0;0;0;0;0;0;0;0;0
AC;12;00385;Plácido de Castro;4981;1357;0;153;16;551;47;0;7;5;2313;402;29;0;69;16;3;0;0;0;6;7
AC;12;00807;Porto Acre;3920;858;0;173;6;440;42;0;6;3;2136;161;47;0;34;8;0;2;0;0;0;4
AC;12;00393;Porto Walter;342;6;0;9;0;31;0;0;0;0;236;54;5;0;0;0;0;0;0;0;0;1
AC;12;00401;Rio Branco;194257;71870;0;4335;536;18065;3545;8;482;263;74631;14198;938;0;3071;903;55;25;0;4;129;1199
AC;12;00427;Rodrigues Alves;1685;208;0;21;1;122;2;0;1;1;1026;293;9;0;0;0;0;0;0;0;0;1
AC;12;00435;Santa Rosa do Purus;195;17;0;5;1;23;0;0;0;0;125;18;3;0;3;0;0;0;0;0;0;0
AC;12;00500;Sena Madureira;9004;1592;0;120;9;945;53;0;21;4;4539;1619;10;0;65;13;0;0;0;0;2;12
AC;12;00450;Senador Guiomard;7171;2229;0;353;69;781;63;0;18;8;2936;451;35;0;139;70;1;0;0;0;3;15
AC;12;00609;Tarauacá;5135;625;0;155;17;406;44;0;6;19;2484;1282;23;0;21;21;0;0;0;0;10;22
AC;12;00708;Xapuri;4524;850;0;81;4;420;25;1;3;4;2747;316;7;0;48;3;1;0;0;0;2;12
AL;27;00102;Água Branca;4508;1085;0;116;3;541;41;0;17;93;2399;141;31;0;26;10;0;0;0;0;0;5
AL;27;00201;Anadia;2999;1132;0;48;1;171;98;0;1;34;1203;191;49;0;53;9;0;0;0;0;0;9
AL;27;00300;Arapiraca;117937;36913;0;3087;507;7452;2096;1;1326;434;46145;15491;554;0;2203;954;10;3;0;0;39;722
AL;27;00409;Atalaia;7238;3886;0;226;13;299;181;0;73;44;1693;153;158;0;424;58;0;0;0;0;2;28
