"NOME_CATMETROPOL";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Região Metropolitana de Florianópolis";816419;838011;855686;873970;912326;933560;954627;940339;963684;977370;1012233;1027280;1041828;1091242;1111702;1131981;1152115;1172076;1189947;1209818;1229335;1248470
"Região Metropolitana de Fortaleza";3165796;3231252;3295678;3355952;3482504;3552530;3622040;3636060;3727325;3781707;3741198;3785373;3828093;3913191;3949974;3985295;4019213;4051744;4074730;4106245;4137561;4167996
"Região Metropolitana de Goiânia";1748394;1797687;1839077;1881227;1969714;2018692;2067293;2088533;2147664;2186794;2178892;2211956;2243928;2352724;2390749;2428090;2464831;2500185;2571240;2613491;2654860;2695362
"Região Metropolitana de Guarabira";241915;242617;241709;242053;242772;243168;243567;243087;249966;250667;244351;244618;244870;249108;249519;249917;250299;250665;250340;250457;250615;250772
"Região Metropolitana de Gurupi";162411;164378;165889;167506;169766;172770;174634;170880;175907;177135;179628;180959;182237;188762;190190;191582;192937;194255;193948;195249;196530;197792
"Região Metropolitana de Itabaiana";128230;128138;128263;128276;128308;128324;128342;131704;135405;136021;131992;132287;132566;135098;135487;135860;136220;136564;136215;136602;136823;137039
"Região Metropolitana de Jaraguá do Sul";186194;192208;196755;201655;211945;217639;223290;221080;231632;236094;247958;252703;257288;271731;278197;284604;290961;297269;303291;309607;315812;321894
"Região Metropolitana de Joinville";626590;641913;654408;667318;694420;709418;724306;703460;718097;726862;746967;756211;765148;797498;810053;822492;834838;847080;857500;869619;881521;893188
"Região Metropolitana de João Pessoa";980874;998202;1015928;1032187;1066341;1085244;1103987;1088997;1118734;1131900;1156273;1169742;1183120;1223287;1238914;1253930;1268360;1282227;1266463;1278401;1290223;1301752
"Região Metropolitana de Jundiaí";580131;593865;603793;614776;637831;650588;663252;639234;665095;673234;698724;707829;716635;751428;761524;771335;780927;790304;804936;815338;825470;835251
"Região Metropolitana de Lages";349068;350614;353749;356026;360813;363465;366092;355155;366750;368263;350532;350673;350798;356655;356770;356884;356998;357110;355799;355723;355652;355580
"Região Metropolitana de Londrina";897086;909626;919974;930600;952901;965238;977489;967342;992564;1001494;1000062;1007886;1015531;1057660;1067214;1076437;1085479;1094347;1101595;1111577;1121303;1130766
"Região Metropolitana de Macapá";375733;392910;406694;421063;430915;467921;484490;450113;469173;478359;516498;527304;537755;564892;576479;587960;599330;610564;634450;646323;658051;669633
"Região Metropolitana de Maceió";1013853;1036851;1055619;1074998;1115687;1138207;1160554;1137642;1172093;1187311;1183074;1196069;1208632;1263465;1274622;1285227;1295188;1304497;1283291;1291571;1299608;1307433
"Região Metropolitana de Manaus";1725536;1781744;1822944;1868155;1944747;2005955;2057419;2030820;2108254;2145709;2210647;2247888;2283906;2431406;2478088;2523901;2568817;2612747;2631239;2676936;2722014;2766492
"Região Metropolitana de Maringá";617116;628510;637403;646816;666584;677524;688381;671074;690016;696891;716918;724588;731998;764906;773835;782456;790904;799191;810774;820493;829971;839190
"Região Metropolitana de Natal";1180907;1206036;1230481;1253665;1302351;1329293;1356023;1327401;1369155;1387322;1418461;1436733;1454399;1526957;1547576;1567669;1587257;1606358;1597207;1614277;1631016;1647414
"Região Metropolitana de Palmas";294209;309609;321354;333952;351605;375033;389558;339209;349522;354895;400092;408228;416088;437996;446737;455261;463562;471639;476288;484674;492945;501080
"Região Metropolitana de Palmeira dos Índios";32590;32157;31843;31498;30771;30368;29969;33814;34806;35004;34367;34502;34645;36042;36170;36290;36404;36510;35958;35991;36075;36158
"Região Metropolitana de Patos";203672;205450;206434;207395;209407;210523;211631;214570;220551;222020;219738;220931;222070;227426;228856;230229;231820;233089;231692;232636;233634;234610
"Região Metropolitana de Piracicaba";1226820;1249838;1269930;1289939;1331937;1355186;1378253;1328520;1372641;1386402;1381339;1393212;1404685;1465045;1478533;1491640;1504457;1516986;1533803;1547616;1561075;1574153
"Região Metropolitana de Porto Alegre";3783096;3845019;3894542;3946492;4055510;4115849;4175740;4030492;4109390;4139315;4032062;4051222;4069738;4220685;4240388;4258926;4276475;4293050;4317508;4340733;4363027;4384302
"Região Metropolitana de Porto Velho";347768;356080;362158;368835;398222;390617;398320;386081;396332;400376;448306;456024;463488;507965;517586;526903;535938;544702;545514;556237;566742;577020
"Região Metropolitana de Recife";3337565;3386747;3425424;3466214;3551809;3599181;3646204;3658318;3731721;3768902;3690547;3717647;3743854;3859339;3887261;3914317;3940456;3965699;3975411;3999817;4023725;4047088
"Região Metropolitana de Ribeirão Preto";1308298;1331647;1348477;1367269;1406717;1428546;1450219;1397057;1449708;1462976;1511140;1526749;1541834;1611460;1628974;1645996;1662645;1678910;1702479;1720469;1738000;1755029
"Região Metropolitana de Salvador";3120303;3182053;3232623;3284770;3394221;3454795;3513521;3707281;3799580;3866004;3573973;3608902;3642682;3884435;3919864;3953288;3984583;4015205;3899533;3929209;3957566;3984479
"Região Metropolitana de Santarém";277132;280075;281858;284052;289027;291204;293733;286992;288432;289336;310898;313491;315998;320502;322786;325002;327140;329197;336273;338405;340503;342565
"Região Metropolitana de Sobral";401982;408746;414175;419835;431716;438290;445508;438888;452577;457308;460463;464909;469204;478759;482399;485904;489265;492491;495468;497515;500635;503671
"Região Metropolitana de Sorocaba";1603205;1645836;1676031;1709972;1781212;1820640;1859772;1747731;1827437;1848887;1871162;1891766;1911680;1999655;2022696;2045090;2066986;2088381;2120095;2143786;2166860;2189284
"Região Metropolitana de Sousa";106328;106394;106629;106771;107064;107227;107390;109575;112760;113332;112217;112658;113080;115549;116093;116616;117121;117604;117083;117399;117760;118110
"Região Metropolitana de São José do Rio Preto";739120;753073;766018;778529;804800;819335;833769;808266;840542;850222;840133;847908;855416;892857;901633;910161;918504;926657;937969;946967;955737;964260
"Região Metropolitana de São Paulo";17879997;18128070;18390777;18628444;19127370;19403480;19677506;19223897;19616063;19777129;19683975;19822559;19956590;20775114;20935204;21090791;21242939;21391624;21571281;21734682;21893842;22048504
"Região Metropolitana de Toledo";322181;322320;322484;322647;322986;323172;323360;340460;354068;357034;358660;361473;364184;379246;382642;385916;389128;392278;394784;398323;401772;405127
"Região Metropolitana de Tubarão";324591;328978;332335;335932;343481;347655;351802;340503;352477;355435;356721;359245;361677;372910;376300;379653;382985;386288;388472;391658;394786;397854
"Região Metropolitana de Umuarama";289648;286251;283710;280953;275169;271966;268786;290458;299777;300548;299447;300211;300937;311359;312537;313673;314787;315879;312883;313794;314678;315544
"Região Metropolitana do Agreste";509658;513569;517499;521671;530431;535281;540091;533876;549616;553352;550221;553456;557328;580605;583544;586316;588920;591353;582200;584413;586425;588382
