"NOME_CATMETROPOL";"tipo";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Região Metropolitana do Contestado";"Total";5,93220338983051;9,90990990990991;5,26315789473684;12,8787878787879;6,47482014388489;6,20689655172414;4,13793103448276;4,63576158940397;5,3030303030303;9,16030534351145;10,2362204724409;11,8421052631579;13,0718954248366;15,5737704918033;13,2450331125828;8,13008130081301;8,52713178294574;21,259842519685;11,2903225806452;15,1515151515152;19,0839694656489;15,2173913043478;15,702479338843;17,9487179487179;NA
"Região Metropolitana do Cariri";"Total";60,3960396039604;67,032967032967;37,037037037037;31,0344827586207;51,7647058823529;65,5844155844156;54,6666666666667;60;76,6467065868264;77,4834437086093;76,2820512820513;83,1818181818182;83,6283185840708;69,9152542372881;78,3653846153846;80,1932367149759;90,1315789473684;88,8888888888889;81,4814814814815;84,0909090909091;86,4406779661017;86,046511627907;87,6288659793814;84,7826086956522;NA
"Região Metropolitana do Alto Vale do Itajaí";"Total";1,86915887850467;3,88349514563107;1,14942528735632;1,8348623853211;7,69230769230769;5,04201680672269;3,84615384615385;0,925925925925926;4,03225806451613;10,0840336134454;4,3859649122807;2,36220472440945;3,7037037037037;5,12820512820513;8,57142857142857;14,1592920353982;6;7,21649484536082;4,70588235294118;5,76923076923077;8,04597701149425;10,2564102564103;6,32911392405063;16,4835164835165;NA
"Região Metropolitana do Agreste";"Total";68,1318681318681;60,5263157894737;63,0434782608696;74,7252747252747;70,5035971223022;72,0779220779221;70,5882352941177;72,9468599033817;83,8323353293413;87,3362445414847;92,2480620155039;84,9802371541502;93,609022556391;88,715953307393;89,0625;90,2127659574468;97,4137931034483;97,2972972972973;96,3350785340314;97,0149253731343;97,2972972972973;96,8888888888889;97,4093264248705;95,4545454545455;NA
"Região Metropolitana de Umuarama";"Total";16,9230769230769;22,3684210526316;16,1764705882353;17,0731707317073;23,8636363636364;10,5882352941176;21,1111111111111;13,6752136752137;8,33333333333333;7,92079207920792;20,1754385964912;14,5454545454545;13,8686131386861;20;38,5416666666667;41,1764705882353;30;39,5348837209302;25,8823529411765;35,0515463917526;35,7142857142857;53,0864197530864;45,1219512195122;56,8421052631579;NA
"Região Metropolitana de Tubarão";"Total";4,93827160493827;7,31707317073171;4,62962962962963;6,55737704918033;8,28025477707006;11,1888111888112;6,10687022900763;2,68456375838926;5,71428571428571;6,48148148148148;7,8740157480315;5,07246376811594;6,61764705882353;7,84313725490196;7,77777777777778;10,2564102564103;3,73831775700935;13,1868131868132;6,97674418604651;6,25;10,6666666666667;13,3333333333333;13,1868131868132;17,7215189873418;NA
"Região Metropolitana de Toledo";"Total";15,7894736842105;12,6436781609195;21,5909090909091;18,0952380952381;11;13,265306122449;19,6581196581197;21,830985915493;15,625;8,69565217391304;18,75;18,1818181818182;21,7687074829932;22,7642276422764;30,1470588235294;29,9145299145299;29,0322580645161;33,0275229357798;16,4948453608247;21,8390804597701;25,8064516129032;34,8993288590604;25,3846153846154;17,5925925925926;NA
"Região Metropolitana de São Paulo";"Total";28,7164179104478;28,5818981311836;30,8580858085809;28,500191791331;28,2324058919804;31,3664596273292;33,4124159746936;33,7161911819192;33,3333333333333;33,2518337408313;37,710992177851;37,4651255480271;38,8489208633094;38,8073828679602;42,573402417962;40,2657128257537;41,3116591928251;43,2249322493225;48,7130600571973;46,6758053461275;48,9032258064516;48,472775564409;49,2438563327032;50,6591337099812;NA
"Região Metropolitana de São José do Rio Preto";"Total";8,40336134453782;12,7118644067797;11,0169491525424;10,2222222222222;12,5;12,5541125541126;9,52380952380952;11,965811965812;13,9130434782609;17,0940170940171;10,5263157894737;12,6582278481013;17,7570093457944;18,1818181818182;16,078431372549;14,3564356435644;13,8613861386139;15,9090909090909;17,2222222222222;23,2673267326733;21,7647058823529;19,4968553459119;24,2268041237113;21,5596330275229;NA
"Região Metropolitana de Sousa";"Total";100;NA;50;80;50;33,3333333333333;41,1764705882353;52,3809523809524;45,4545454545455;63,6363636363636;69,2307692307692;69,5652173913043;80;73,3333333333333;92;89,1891891891892;83,8709677419355;87,5;86,2068965517241;96,1538461538462;84,6153846153846;83,3333333333333;100;80;NA
